Index,vars,utterance,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance,Critical
0,"[0.7429151566795382, 0.5829346275128706, 0.40826554851028257, 0.15210614243979176, 0.022084953543502567, 0.9766966730974682]","Find a high-priced Greek restaurant with a 4.5 rating, accepts credit cards.",1.0,1.0,-0.0,0
1,"[0.5252574296622785, 0.5580445383554484, 0.47800466444443124, 0.7026276485108782, 0.6502597383511362, 0.7608235761968171]",Could you guide me to a museum with a 4-star rating and parking available?,1.0,1.0,-0.0,0
2,"[0.45027482684141185, 0.285616767485911, 0.5848825638432857, 0.3767872959122373, 0.2912539744297871, 0.04673018727932515]",Find me a high-priced hotel with a 4-star rating.,1.0,1.0,-0.0,0
3,"[0.4835018287678534, 0.530067120995141, 0.11906058621151208, 0.06109198366856366, 0.44345757405264896, 0.21474608921581917]","Find a high-priced Turkish cafe with contactless payment and parking, rated 4 stars.",1.0,1.0,-0.0,0
4,"[0.703959397175076, 0.4207385537106501, 0.008466594016702023, 0.2484151750807055, 0.6413767549720419, 0.14639898814475455]","Hey, can you find me a cheap American restaurant with a 4.5 rating that accepts mobile payments?",1.0,1.0,-0.0,0
5,"[0.4730729942428232, 0.15484360259311084, 0.9062009367940833, 0.4074188826468816, 0.39079767112318625, 0.2561670766367746]",Could you please locate a high-end bar with a 4-star rating?,1.0,1.0,-0.0,0
6,"[0.195579852680401, 0.2482010802585202, 0.5327518904263697, 0.03680696441863025, 0.5121570015658514, 0.2712042581140021]","Could you tell me where a supermarket is, with cash payment and parking available?",1.0,1.0,-0.0,0
7,"[0.08722365106776686, 0.6257784138549782, 0.5696166087896517, 0.0856901477935793, 0.5261549361307133, 0.08310107385226684]","Where's the nearest bakery, huh?",1.0,1.0,-0.0,0
8,"[0.3026245415464491, 0.15103500006707782, 0.8524318020787989, 0.23361455950652377, 0.8997629493653732, 0.9242545909473573]","Locate a low-priced bar with contactless payment, please.",1.0,1.0,-0.0,0
9,"[0.4186880753887534, 0.004878291701083309, 0.9142248590998113, 0.48337968140987553, 0.08466978324733493, 0.3579154363756571]","Please find a low-priced Mexican restaurant with cash payment and parking, rated 4 stars.",0.8,1.0,-0.0,0
10,"[0.8138066683234508, 0.6214930646006511, 0.41910096240166794, 0.9472765407677127, 0.6610816537603542, 0.44785447435177905]",Could you please guide me to a 5-star museum?,1.0,1.0,-0.0,0
11,"[0.37835251398713887, 0.376737263159865, 0.8011566134935553, 0.1713662085255505, 0.42727649101799764, 0.3971545309132671]","Find me a medium-priced hotel, 3.5 stars, credit card only.",1.0,1.0,-0.0,0
12,"[0.3414592618682875, 0.8040920257844668, 0.28008243869613014, 0.4120100411101639, 0.8071955833004913, 0.6840133404177298]",Can you find a high-rated hotel with contactless payment and parking?,1.0,1.0,-0.0,0
13,"[0.2018442203339758, 0.658270833132223, 0.7310845774288203, 0.1905287873541248, 0.9569757939371428, 0.7994682245363374]","Find a museum with a decent rating, please.",1.0,1.0,-0.0,0
14,"[0.4594968193951844, 0.9802356794944076, 0.46537259744686565, 0.8117644736203694, 0.2825438851577281, 0.3919821434794939]","Could you please find a Thai cafe with parking, rated 4 stars, and accepts credit cards?",1.0,1.0,-0.0,0
15,"[0.6040859937622991, 0.8382545832855709, 0.7259295828723659, 0.0964143939445717, 0.6740770679522492, 0.3356861649786817]","Hey, got any low-priced hotels with a solid 4.5 rating?",1.0,1.0,-0.0,0
16,"[0.9773910176937222, 0.23329799484308425, 0.08553585561633217, 0.5990517569640512, 0.1123786943996691, 0.5486362470699401]",Please find a medium-priced Thai cafe with contactless payment and a 5.0 rating.,1.0,1.0,-0.0,0
17,"[0.11621158142698099, 0.6365541921955181, 0.5118229054305743, 0.22591535542865204, 0.7339175004989124, 0.9213692497248822]",Can you find a high-end supermarket with mobile payment?,1.0,1.0,-0.0,0
18,"[0.13576707937859628, 0.9109317562655073, 0.11915439937329489, 0.6262943203223513, 0.6886808915567373, 0.28325849795366415]",Could you help me find a bakery nearby?,1.0,1.0,-0.0,0
