Index,vars,utterance,answer,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance
0,"[0.08453537886899115, 0.05521185163543703, 0.05514591516844347, 0.8568050011840417, 0.02925044255817527, 0.91944722909793]",Please guide me to a high-priced Turkish restaurant with available parking.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
1,"[0.946233755141764, 0.47602617415260184, 0.6148765713824952, 0.2743161952371829, 0.35613611909080567, 0.5948879628081614]",Failed to generate question due to error 'NoneType' object has no attribute 'replace' of type <class 'AttributeError'>,It seems like there was an error in generating your question. Could you please rephrase or clarify your request?,1.0,0.0,-0.0
2,"[0.3986070437859623, 0.7472078799492146, 0.8760928331233188, 0.20902681078433702, 0.910631810406814, 0.3736898306273759]",Could you guide me to a 3.5-star Indian cafe nearby?,"The closest match is Mood Cafe, rated 4.5/5, serving Indian food at 4618 Baltimore Ave. Shall I navigate there?",0.7,0.9026724696159363,-0.0
3,"[0.19684865927850226, 0.04, 0.83, 0.86, 0.37, 0.83]",Could you kindly direct me to a high-end Turkish dining establishment with available parking?,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
4,"[0.3583494109360531, 0.57, 0.02, 0.17, 0.4, 0.89]","Find a Vietnamese cafe with medium prices, 3.5 stars, and mobile payment.","Vietnam Cafe at 816 S 47th St fits your request with 4.0 stars, medium prices, and mobile payment. Navigate there? Or other preferences?",0.7,0.832989513874054,-0.0
5,"[0.1404619613172161, 0.06, 0.06, 0.86, 0.03, 0.92]",Please direct me to a Turkish restaurant with high prices and available parking.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
6,"[0.13749066492334444, 0.9035387350288931, 0.805267192445468, 0.9377805348928241, 0.8040676311120747, 0.6047363270286469]",I'm looking for a high-priced supermarket that accepts cash.,"Sorry, I cannot find any relevant places.",0.1,1.0,-0.08429048117398563
7,"[0.8729428469408397, 0.4784388519820496, 0.9397849956905703, 0.1345727956207932, 0.2290367758979929, 0.6683345025070581]","Take me to a 5-star hotel with available parking, credit card payment.","The only listed option, Flying Angels, isn't a 5-star hotel but a medical transportation service. Any other preferences or POIs?",0.3,0.9249118566513062,-0.0738909575254707
8,"[0.2972732405372134, 0.59, 0.06, 0.17, 0.4, 0.89]","Locate a Chinese cafe with mobile payment, 3.5 stars, medium price.","The best match is Sang Kee Peking Duck House, rated 4.0/5, medium-priced ($$), offering Chinese cuisine. Shall I navigate there? Or do you have other preferences?",0.7,0.832989513874054,-0.0
9,"[0.8380023996994522, 0.9, 0.74, 0.15, 0.4, 0.14]","Locate a Vietnamese cafe with medium prices, 5-star rating, mobile payment, and available parking, please.","Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
10,"[0.006286787020150036, 0.06, 0.06, 0.86, 0.03, 0.92]",Please direct me to a Turkish restaurant with high prices and available parking.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
11,"[0.2481072900891279, 0.57, 0.03, 0.86, 0.4, 0.83]",Please guide me to a high-priced Turkish restaurant accepting mobile payments.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
12,"[0.03804205907978917, 0.05, 0.56, 0.15, 0.04, 0.82]",Direct me to a high-end Vietnamese eatery with available parking.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
13,"[0.21613274278407607, 0.57, 0.72, 0.15, 0.44, 0.14]","Find a Mexican cafe with contactless payment, 3.5 stars, please.","Salsolito Cafe is a great choice! It’s a 4.0-rated Mexican spot at 602 South St. with contactless payment. Should I navigate there, or do you have other preferences?",0.7,0.832989513874054,-0.0
14,"[0.11606548556329715, 0.06, 0.05, 0.86, 0.03, 0.92]",Please guide me to a high-end Turkish restaurant with mobile payment and available parking.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
15,"[0.00040048329647839054, 0.59, 0.01, 0.17, 0.4, 0.89]","Find me a bakery with mobile payment, 3.5 stars.","The closest match is Luscious Bakery, rated 4.5/5, accepting mobile payments. Would you like directions or explore other options?",0.7,0.8752301037311554,-0.0
16,"[0.08269357751111617, 0.9, 0.81, 0.94, 0.8, 0.61]",I'm searching for a high-end supermarket that accepts cash.,"Sorry, I cannot find any relevant places.",0.1,1.0,-0.0
17,"[0.16092366458799381, 0.06, 0.09, 0.86, 0.03, 0.92]",Please guide me to a Turkish restaurant with high prices and available parking.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
18,"[0.017581364683923045, 0.06, 0.57, 0.14, 0.03, 0.9]","Direct me to a high-end Turkish restaurant with available parking, please.","Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
19,"[0.9366195198268313, 0.48, 0.61, 0.27, 0.36, 0.59]","Locate a Vietnamese cafe with medium prices, mobile payment, and a 5-star rating.","Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
20,"[0.23065030859766572, 0.57, 0.74, 0.15, 0.44, 0.14]","Locate a Mexican cafe, 3.5 stars, contactless payment, please.","The closest match is Los Jimenez, a 4.5-star Mexican cafe at 2654 S 6th St, offering contactless payment. Navigate there?",0.7,0.832989513874054,-0.0
21,"[0.9414493239048971, 0.57, 0.03, 0.69, 0.23, 0.66]",Please guide me to a high-end Vietnamese cafe that accepts credit card payments.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
22,"[0.01717293563915792, 0.06, 0.06, 0.86, 0.03, 0.92]",Kindly guide me to a high-end Turkish restaurant with available parking.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
23,"[0.011256232778502559, 0.59, 0.06, 0.17, 0.4, 0.89]","Find a bakery, now!","Sorry, I cannot find any relevant places.",0.2,0.0,-0.0
24,"[0.6370907511655939, 0.34698613313258514, 0.2030091893237213, 0.26773004607640116, 0.2021154413123437, 0.7478978283747472]","Take me to a high-priced Chinese cafe with a 4.5 rating, credit card payment, and available parking.","Sorry, I cannot find any relevant places.",0.2,1.0,-0.06774707859659101
25,"[0.8838510841772385, 0.48, 0.61, 0.27, 0.36, 0.59]",Find a top-rated hotel in the vicinity.,"I found a highly-rated option: Luxury Car Service (4.5/5). It offers transportation and travel services but isn't a hotel.  

Would you like me to navigate there, or should I search for other hotels nearby? Let me know your preferences!",0.7,0.9249118566513062,-0.0
26,"[0.181158519658326, 0.48, 0.01, 0.13, 0.22, 0.69]","Find a bakery, now!","Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
27,"[0.7521163210489047, 0.9, 0.81, 0.74, 0.69, 0.41]","Could you guide me to a budget-friendly hotel with cash payment and available parking, rated around 4.5?","The listed option, Mural Arts Philadelphia, isn't a hotel. Would you like me to search for budget-friendly hotels with parking nearby?",0.4,0.9249118566513062,-0.0
28,"[0.043598390934167223, 0.48, 0.61, 0.27, 0.36, 0.59]","Find a bakery, now!","Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
29,"[0.02786607131921358, 0.48, 0.94, 0.17, 0.4, 0.67]","Locate a bakery, now!","Sorry, I cannot find any relevant places.",0.2,0.0,-0.0
30,"[0.19881141931379778, 0.9, 0.86, 0.94, 0.8, 0.61]",I'm looking for a fancy supermarket that accepts cash.,"Sorry, I cannot find any relevant places.",0.1,1.0,-0.0
31,"[0.1747888043842818, 0.04, 0.06, 0.18, 0.03, 0.89]",Locate a high-priced Vietnamese dining establishment in the vicinity.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
32,"[0.14188932791519787, 0.5684486736954419, 0.28436158880362244, 0.3092039817351351, 0.48708671891372396, 0.8654519206223581]","Take me to a hotel with medium prices and available parking, cash only.","The only option listed is Hertz Rent A Car, rated 2.0/5, at 1 Arrivals Rd, with medium prices ($$). Should I navigate there, or do you have other preferences in mind?",0.4,0.9249118566513062,-0.07857410878834636
33,"[0.12006957693039327, 0.48, 0.94, 0.13, 0.23, 0.67]","Find a bakery, now!","Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
34,"[0.18543756271012918, 0.92, 0.49, 0.16, 0.02, 0.27]","Take me to a museum, now!","Sorry, I cannot find any relevant places.",0.2,0.0,-0.0
35,"[0.13088377821909503, 0.91, 0.81, 0.94, 0.2, 0.75]",Could you kindly direct me to a high-end supermarket that accepts credit card payments?,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
36,"[0.3832119444542419, 0.57, 0.74, 0.12, 0.44, 0.18]","Locate a Mexican cafe, 3.5 stars, contactless payment, now.","Sorry, I cannot find any relevant places.",0.2,0.0,-0.0
37,"[0.13396344161917176, 0.48, 0.0, 0.85, 0.03, 0.92]",Please guide me to a high-end Turkish restaurant in the vicinity.,"Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
38,"[0.041611315787931424, 0.06, 0.06, 0.86, 0.03, 0.92]","Please direct me to a high-end Turkish restaurant with available parking, accepting cash payments.","Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
39,"[0.16782529997126108, 0.95, 0.21, 0.21, 0.8, 0.61]",Find me a high-priced supermarket that accepts cash.,"Sorry, I cannot find any relevant places.",0.1,1.0,-0.0
40,"[0.8558015654159639, 0.89, 0.74, 0.15, 0.4, 0.14]","Yo, locate a Mexican cafe with medium prices, a 5-star rating, and contactless payment.","Sorry, I cannot find any relevant places.",0.2,1.0,-0.0
