Index,utterance,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance,Critical
0,"Navigate to um a German cafe with a flawless 5-star rating, accepting contactless payments.",0.1,0.0,-0.0,1
1,Navigate too a. bakery. I nead some fresh bread.,1.0,0.8752301037311554,-0.109048013289472,0
2,"Navigate tew a museum, like, now. Got it?",1.0,0.9626623690128326,-0.10947886986743671,0
3,Navigate two ae supermarket withe mobile payment and parking available.,0.2,0.0,-0.10804970315939233,1
4,Navigate to a um high-priced German cafe with a flawless 5-star rating that accepts credit cards.,0.1,1.0,-0.0,1
5,Navigate to a. supermarket with parking. I’ll pay with ay credit card.,0.2,0.0,-0.10016401306330247,1
6,"Navigate to a museum, parking's gotta be available, right?",0.7,0.9626623690128326,-0.1060170670095788,1
7,"Navigate to a supermarket, and make sure mobile payment uh works, alright?",0.8,0.8911634385585785,-0.10687628428375018,0
8,Navigate to a cafe with Japanese food and mobile payment options.,1.0,0.832989513874054,-0.10081719480948814,0
9,Navigate to a bakery. I need some fresh bread.,1.0,0.8752301037311554,-0.10615598101744017,0
10,"Navigate two a. supermarket that takes credit cards, alright?",0.2,0.0,-0.09984756161914221,1
11,Navigate to supermarket with mobile payment options and parking available.,1.0,0.8911634385585785,-0.1030556266985665,0
12,Navigate to a museum. AY expect it to be interesting.,1.0,0.9626623690128326,-0.10350037402633672,0
13,"Navigate thuy ae low-priced supermarket that takes contactless payments, alright?",0.2,0.0,-0.09862691249033506,1
14,Navigate to a high-priced German restaurant with mobile payment options.,0.2,1.0,-0.09144927263487823,1
15,Navigate two a middle eastern cafe. Don't waste time!,1.0,0.832989513874054,-0.09301842037520935,0
16,Navigate thuy ae museum with a rating of 3.5.,0.2,0.0,-0.08178729676482499,1
17,"Navigate to ae low-priced bakery nearby, please.",1.0,0.8752301037311554,-0.08442701507164363,0
18,Could you please like navigate me to a nearby bar?,1.0,0.9390982389450073,-0.09247732690940447,0
19,Navigate tue a bahre withe a grate rating and parking available.,0.2,0.0,-0.07655897089336461,1
