Index,vars,utterance,answer,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance
0,"[0.7988387368594724, 0.38788357536758444, 0.7822206134599218, 0.8470115791211291, 0.6016725254063002]",Could you please guide me to a Greek restaurant with a 4.5 rating and parking available? I can pay by credit card.,"I recommend ""Greek From Greece,"" rated 5.0/5, located at 107 N 33rd St. It offers a great dining experience. 

Would you like me to navigate you there, or do you have other preferences in mind?",0.7,0.9640928506851196,-0.0
1,"[0.3488274008880592, 0.5783175255477132, 0.6770435828058756, 0.8572870655824709, 0.5941050611323858]","Could you please guide a low-priced French restaurant parking? Rating 3.5, if possible.","I found La Dominique, a French restaurant rated 4.5/5, located at 3300 Market St. Price: $. Would you like me to navigate there, or do you have other preferences in mind?",0.7,0.9640928506851196,-0.0
2,"[0.22687005487490103, 0.31172810357718234, 0.17721301741216494, 0.13829888772848478, 0.048378126916572034]",Navigate to a museum with a rating of 3.5.,"It seems the only museum listed is the Please Touch Museum, rated 4.0. Would you like me to navigate there, or do you have other preferences in mind?",0.7,0.9626623690128326,-0.0
3,"[0.7859055960472797, 0.010355574754471686, 0.924109220779172, 0.8489474511463304, 0.23774331602113416]","Navigate to a medium-priced hotel with a 4.5 rating, please.","I found Bus Stop, a highly-rated place at 727 S 4th St, priced at medium. Should I navigate there? Or do you have other preferences in mind?",1.0,0.6849897503852844,-0.0
4,"[0.30850241259513406, 0.3094659202091002, 0.4638103281354054, 0.7442235381034871, 0.5300606329859239]",Could you please guide me to a high-priced bar mobile payment options and a rating of 3.5?,"The most suitable place is Verizon, rated 3.5/5, offering mobile payment options at a high price point. 

Would you like me to navigate you there, or do you have other preferences in mind?",1.0,0.6654961705207825,-0.0
5,"[0.5581609478801284, 0.904157220365346, 0.670105028048477, 0.6236369645969178, 0.8930845248661508]","Navigate to a you know high-end Thai cafe with contactless payment, please.","I found Siam Cuisine, a Thai restaurant with a 3.0/5 rating, located at 925 Arch St. Would you like me to navigate there? Or do you have other preferences in mind?",0.7,0.832989513874054,-0.0
6,"[0.3163666092562913, 0.58, 0.68, 0.86, 0.59]","Could you please direct um me to a low-cost French restaurant with available parking and a rating of 3.5? Credit card accepted, if possible.","I recommend Profi's Crêperie, a French restaurant rated 4.0/5, located at 51 N 12th St. It’s low-cost and accepts credit cards. 

Would you like me to navigate you there, or do you have other preferences in mind?",0.7,0.9640928506851196,-0.0
7,"[0.3133288652401638, 0.58, 0.68, 0.86, 0.55]",Could you please direct budget-friendly hotel available parking? A rating of 3.5 would be appreciated.,"It seems I found a restaurant, The Halal Guys, but not a hotel. Would you like to navigate there, or do you have other preferences in mind?",0.3,0.784639984369278,-0.0
8,"[0.1440200696802063, 0.15, 0.28, 0.66, 0.36]",Navigate to a medium-priced hotel that offers contactless payment and has parking available.,"The most suitable option is Hertz Rent A Car, which offers medium pricing and parking. Would you like me to navigate there? If you have other preferences or places in mind, let me know!",0.4,0.9249118566513062,-0.0
9,"[0.6697064178425596, 0.39, 0.78, 0.85, 0.29]",Navigate to a restaurant with a 4.5-star rating that accepts contactless payments.,"I recommend Restaurant Ambra, an Italian place rated 5.0/5, located at 705 S 4th St. Should I navigate there? Or do you have other preferences in mind?",0.7,0.9640928506851196,-0.0
