Index,vars,seed,utterance,answer,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance,Critical
0,"[0.4627181492993409, 0.1321099699075923, 0.6655247433848831, 0.5543787989679427, 0.827502337171333]",None,Could you pleas guide me tew a high-priced Indian cafe withe cash payment and parking available? It should have ay rating of at leased 4 staar's.,"I found the Palace at the Ben, an Indian cafe with a 4.0 rating, cash payment, and parking available. 

Would you like me to navigate you there, or do you have other preferences in mind?",1.0,0.832989513874054,-0.0,0
1,"[0.8923495352528864, 0.5023947079709922, 0.6426669759388508, 0.533667513755336, 0.08176432601575365]",None,Navigate thuy a Turkish restaurant with a. 5-star rating and parking.,"I recommend Authentik Byrek, a 5-star Turkish restaurant with parking available at 3500 Block On Market St. 

Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.9640928506851196,-0.0,0
2,"[0.8589859091054057, 0.8833052893630207, 0.4073464640265586, 0.7756112605204692, 0.8580005619495202]",None,Navigate a museum with perfect 5-star rating.,"I recommend Museum Hack, which offers engaging tours and activities with a perfect 5-star rating. Would you like me to navigate there? Or do you have other places in mind?",1.0,0.7556162178516388,-0.0,0
3,"[0.7844525377689311, 0.27966529623472597, 0.07570472356563036, 0.6958232490085906, 0.03474001781740321]",None,Navigate to a Japanese restaurant withe ay 4.5 rating and parking.,"I found Tokyo Mandarin, a Japanese restaurant rated 4.5/5 with parking available at 7030 Castor Ave. Should I navigate there? Or do you have other preferences in mind?",1.0,0.9640928506851196,-0.0,0
4,"[0.9728908017776123, 0.9880920395339119, 0.23867239951175603, 0.7873502399295422, 0.8553864516755574]",None,Navigate to a low-priced restaurant with a 5-star rating and parking.,"I recommend K & A Sandwiches & Grocery, a 5-star rated restaurant with affordable prices and parking available. Should I navigate there? Or do you have other preferences in mind?",1.0,0.9640928506851196,-0.0,0
5,"[0.09253840588666853, 0.8005097011558803, 0.8532098150698086, 0.6596203302907268, 0.6064192099024246]",None,Could you help me find a low-priced bakery nearby?,"I recommend Luscious Bakery, rated 4.5/5 and known for its low prices. Would you like me to navigate there? Or do you have other preferences?",1.0,0.8752301037311554,-0.0,0
6,"[0.4350911931380571, 0.19403620372186164, 0.7363628186658819, 0.3922270099014139, 0.6482420532890418]",None,"Navigate to, um, a low-priced cafe with Japanese food and contactless payment.","I recommend Maru Global, a low-priced Japanese cafe with a rating of 3.5/5. Would you like me to navigate there? If you have other preferences or places in mind, just let me know!",1.0,0.832989513874054,-0.0,0
7,"[0.09162862169212567, 0.12334072559366274, 0.042426850282113265, 0.033291717033871154, 0.9764880119004189]",None,Navigate to a supermarket with available parking and accept credit cards.,"I recommend Great World Supermarket at 927 Arch St. It has parking and accepts credit cards. Should I navigate there? If you have other preferences or places in mind, let me know!",1.0,0.8911634385585785,-0.0,0
8,"[0.848610940101224, 0.4685503123602856, 0.10595957696780563, 0.5276334139246901, 0.7592583532819697]",None,"Navigate to, um, a hotel with a 5-star rating and contactless payment.","I recommend Flying Angels, a 5-star hotel offering contactless payment at One International Plz, Ste 550. Should I navigate there? Or do you have other preferences in mind?",1.0,0.9249118566513062,-0.0,0
9,"[0.10666758664219458, 0.6742784058708655, 0.9094245707672942, 0.8546270896731721, 0.08065025445492349]",None,"Navigate to a supermarket withe parking available, card only.","I recommend Great World Supermarket at 927 Arch St. It has parking available and accepts card payments. 

Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.8911634385585785,-0.0,0
