Index,vars,utterance,answer,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance
0,"[0.07985489677826217, 0.14739553199225752, 0.27563411992323844, 0.6538859782365307, 0.9958480643764958]",Navigate to a cafe that serves German food and has contactless payment.,"I found Germantown Biergarten, which serves American food and is located at 8500 Essington Ave, Terminal B. Would you like me to navigate there, or do you have other preferences in mind?",0.4,0.832989513874054,-0.0
1,"[0.7859055960472797, 0.010355574754471686, 0.924109220779172, 0.8489474511463304, 0.23774331602113416]","Navigate to a medium-priced hotel with a 4.5 rating, please.","I found a place called Bus Stop, rated 5.0/5 and priced at $$, but it’s not a hotel. Would you like to navigate there, or do you have other preferences in mind?",0.4,0.6849897503852844,-0.0
2,"[0.39688959790411027, 0.5259021688550887, 0.7885256314499334, 0.27590518615416043, 0.6263649204442049]",Navigate to a hotel with contactless payment and parking available.,"The most suitable option is Payless Airport Parking, which offers parking, but it has a low rating of 1.5/5. 

Would you like me to navigate there, or do you have other preferences in mind?",0.7,0.9249118566513062,-0.0
3,"[0.5581609478801284, 0.904157220365346, 0.670105028048477, 0.6236369645969178, 0.8930845248661508]","Navigate to a high-rated Thai cafe with contactless uh payment, please.","The best option is Asia @ Cafe, a Thai and Chinese restaurant rated 2.5/5, located at 1030 S 8th St. 

Would you like me to navigate there, or do you have other preferences in mind?",0.4,0.832989513874054,-0.0
4,"[0.1633715437172768, 0.09496959559176088, 0.4091540334864978, 0.02719941752482684, 0.3333502171869642]",Navigate to a high-end bar that accepts mobil payments.,"It seems the only option listed is Verizon, which isn't a bar. Unfortunately, I couldn't find a high-end bar that accepts mobile payments. 

Would you like to search for another type of place, or do you have a specific bar in mind?",1.0,0.6654961705207825,-0.0
5,"[0.46313482586181587, 0.9269191338100083, 0.21481864919409555, 0.9157021999833335, 0.9973502945091712]","Navigate to a high-rated hotel. Cash only, please.","I found The Inn at Penn, a Hilton Hotel, rated 4.0/5. However, it may not accept cash only. Would you like to navigate there, or do you have other preferences in mind?",0.7,0.9687078595161438,-0.0
6,"[0.09097796708172318, 0.8104531245337274, 0.5985882864415619, 0.36183220471294875, 0.1926796602718007]","Navigate a supermarket, and make sure take cash.","I recommend Big 8 Supermarket, a grocery store rated 3.0/5, located at 1600 Carpenter St. Would you like me to navigate there? Or do you have other preferences in mind?",0.7,0.8911634385585785,-0.0
7,"[0.1440725754243477, 0.5576745171809562, 0.1565403186023844, 0.040499013515942185, 0.29603428852079516]",Navigate to high-end supermarket with available parking.,"The only option available is DASHED, a food delivery service with a 2.0 rating. Would you like to navigate there, or do you have other preferences in mind?",0.4,0.7461632192134857,-0.0
8,"[0.9160402131468803, 0.7277954613936994, 0.35849376838183517, 0.763000875098492, 0.8313985696576278]","Navigate to a medium-priced hotel, cash only, with a 5-star rating.","It seems the only option is Starshine Salon, which is a beauty salon, not a hotel. Would you like to navigate there, or do you have other preferences in mind?",0.4,0.6809072345495224,-0.0
9,"[0.3974548531163962, 0.8667118856520567, 0.05149644755009122, 0.08495713009208815, 0.7395005609726415]","Navigate tue a. museum with a 3.5 rating. Parking's available, right?","It seems the only option is the Please Touch Museum, rated 4.0/5. Would you like me to navigate there? Or do you have other preferences in mind?",0.7,0.9626623690128326,-0.0
10,"[0.016876955547159178, 0.9751051187477308, 0.6453407695391915, 0.25508632062003883, 0.26830376131375683]","Navigate to a high-end supermarket with parking, alright?","I found DASHED, a high-end supermarket with parking, rated 2.0/5. It's located at 310 E Girard Ave. 

Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.7461632192134857,-0.0
11,"[0.04256137462296399, 0.45457775389781435, 0.35803653675509595, 0.39617773074931967, 0.6692649567198037]",Navigate to a high-end bakery. Got it?,"It seems the only option is DASHED, a food delivery service rated 2.0/5. Would you like to navigate there, or do you have another place in mind?",0.7,0.7280087471008301,-0.0
12,"[0.7656509161818316, 0.04898847386073782, 0.2167159545590851, 0.7397605812753446, 0.4755460631879801]",Navigate a French cafe with a 4.5 rating. Credit card only.,"I recommend Bistro La Bête, a highly-rated French restaurant with a perfect 5.0 rating. Should I navigate you there? If you have other preferences or places in mind, let me know!",0.7,0.832989513874054,-0.0
13,"[0.36794250789295674, 0.3167918964948182, 0.06765094043441229, 0.42804233012490933, 0.3572296950005101]","Navigate to a medium-priced Turkish cafe with a 3.5 rating, accepting mobile payments.","The best option is Konak, a Turkish cafe rated 4.0/5, located at 228 Vine St. Would you like to navigate there? If you have other preferences or places in mind, let me know!",0.7,0.832989513874054,-0.0
