Index,vars,utterance,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance,Critical
0,"[0.4509612027884293, 0.9386124924358946, 0.23058586058629463, 0.30370218908961616, 0.5484625544707371, 0.3593029668005829]","Where can I find a hotel with mobile payment, 4-star rating, and available parking?",1.0,0.9687078595161438,-0.0,0
1,"[0.062102310009259476, 0.3929268399499922, 0.8307936798715164, 0.7678995845827412, 0.3744850183268263, 0.825392957061665]",Could you guide me to a low-priced supermarket with available parking?,1.0,0.8911634385585785,-0.0,0
2,"[0.7027136667515487, 0.13161440695280913, 0.1940803744284052, 0.11962676395300396, 0.7890979296277368, 0.7043217160394111]","Please guide me to a low-priced hotel with a 4.5-star rating and available parking, using mobile payment.",0.7,0.9249118566513062,-0.0,1
3,"[0.5215534158836574, 0.8734768667390032, 0.8198031552159597, 0.2583784407107443, 0.5210409004243833, 0.972285243960184]",Where can I find a museum with a 4.0 rating and available parking?,1.0,0.9626623690128326,-0.0,0
4,"[0.08453537886899115, 0.05521185163543703, 0.05514591516844347, 0.8568050011840417, 0.02925044255817527, 0.91944722909793]",Please guide me to a high-priced Turkish restaurant with available parking.,0.2,1.0,-0.0,1
5,"[0.946233755141764, 0.47602617415260184, 0.6148765713824952, 0.2743161952371829, 0.35613611909080567, 0.5948879628081614]",Failed to generate question due to error 'NoneType' object has no attribute 'replace' of type <class 'AttributeError'>,1.0,0.0,-0.0,1
6,"[0.8015550297332933, 0.15397492723778178, 0.9908344381069586, 0.9174893562099379, 0.36026898503579124, 0.8633204868547955]","I kindly request directions to a highly-rated hotel with available parking, accepting cash.",1.0,0.9249118566513062,-0.0,0
7,"[0.1007661863741316, 0.9122957934347247, 0.743584707449331, 0.14858705388458746, 0.4399132085788534, 0.13796689547976176]",Take me to a Mexican cafe that accepts contactless payment.,1.0,0.832989513874054,-0.0,0
8,"[0.5902628980238134, 0.631671482862129, 0.8586177853036804, 0.7922153531455522, 0.9456821941635538, 0.13595693021640004]",Could you guide me to a museum with a 4-star rating and available parking?,1.0,0.9626623690128326,-0.0,0
9,"[0.5944967837041388, 0.32844920617497286, 0.5676430735014134, 0.14619987729527018, 0.6841071692554115, 0.8966581568255693]",Where can I find a medium-priced Vietnamese cafe with mobile payment?,1.0,0.832989513874054,-0.0,0
10,"[0.28303275282240054, 0.5699729209487686, 0.021201744798171385, 0.16617704048433363, 0.4033234452513076, 0.8935715491390308]",Take me to a high-rated hotel that accepts mobile payment.,1.0,0.9249118566513062,-0.0,0
11,"[0.5753327899141879, 0.9525219010593304, 0.8778678463500161, 0.17428168923507764, 0.4098661251582697, 0.7535246910735196]",Take me to a museum with a 4-star rating.,1.0,0.9626623690128326,-0.0,0
12,"[0.495716564813485, 0.6416783533338632, 0.12883450350685666, 0.2615912195199748, 0.05287995837755449, 0.620143685194209]",Take me to a high-priced American restaurant that accepts credit cards.,1.0,0.9640928506851196,-0.0,0
13,"[0.8745198734831232, 0.012386492997298854, 0.9633929800460788, 0.6917492194918959, 0.4598031205905829, 0.2012327263336106]",Please guide me to a high-rated Greek cafe that accepts mobile payment.,1.0,0.9026724696159363,-0.0,0
14,"[0.3272919910943546, 0.061419339753253116, 0.19738909545250333, 0.5833303931697364, 0.5326160664119681, 0.6064150227077978]",Where can I find a high-priced Middle Eastern restaurant with available parking and accepts cash?,1.0,0.9640928506851196,-0.0,0
15,"[0.7623010436961595, 0.7400804318665322, 0.10356737075386901, 0.9277641122146042, 0.7534231837701616, 0.5021990946078165]",Could you guide me to a moderately priced American restaurant with a 4.5-star rating and available parking?,1.0,0.9640928506851196,-0.0,0
16,"[0.13237634657203132, 0.058782563300503465, 0.7533804970520939, 0.7059159334002797, 0.6726529408595496, 0.3594329805951008]",Where can I find a supermarket that accepts cash payments?,1.0,0.8911634385585785,-0.0,0
17,"[0.031219947085787347, 0.4402327428073481, 0.20210659969298198, 0.8833717981967553, 0.2211614305121811, 0.6837637002745818]",Please guide me to a high-priced bar with credit card payment.,1.0,0.9390982389450073,-0.0,0
18,"[0.021871322536119828, 0.29162778281705193, 0.6847439972236875, 0.9755459646532072, 0.9152484562521749, 0.2036641400982246]","I would appreciate guidance to a museum, please.",1.0,0.9626623690128326,-0.0,0
19,"[0.3986070437859623, 0.7472078799492146, 0.8760928331233188, 0.20902681078433702, 0.910631810406814, 0.3736898306273759]",Could you guide me to a 3.5-star Indian cafe nearby?,0.7,0.9026724696159363,-0.0,1
20,"[0.6055873291983918, 0.6191048399605111, 0.5552517703234351, 0.9903718772634869, 0.06736514412137018, 0.7888485419865876]",Please guide me to a high-rated Greek cafe that accepts contactless payment.,1.0,0.9026724696159363,-0.0,0
21,"[0.7761293397246426, 0.6003476787613198, 0.3364664699986104, 0.9594098059943669, 0.717750643142488, 0.4221031792908126]",Where can I find a hotel with a 4.5 rating and contactless payment?,1.0,0.9249118566513062,-0.0,0
22,"[0.19300815820489148, 0.3332228252474799, 0.09316101095215641, 0.21624440848173615, 0.5175145191733066, 0.5342623269807965]",Where can I find a museum with available parking?,1.0,0.9626623690128326,-0.0,0
23,"[0.8021599699924323, 0.601703265936676, 0.4356944075552103, 0.14679444832253272, 0.6317412849728901, 0.6355550396651736]","Where can I find a highly rated German cafe with medium prices and available parking, cash only?",0.2,1.0,-0.0,1
24,"[0.01846819197476801, 0.03972965575117671, 0.19568074709685024, 0.006212318984580439, 0.6536573490651157, 0.1787118269246339]",Where can I find a bakery around here?,1.0,0.8752301037311554,-0.0,0
25,"[0.002927247794512672, 0.5877398143384985, 0.9137359726373179, 0.10998337585274134, 0.5670852672780711, 0.17814641582038865]",Where can I find a low-priced bakery around here?,1.0,0.8752301037311554,-0.0,0
26,"[0.7546378050216668, 0.49582596326160217, 0.8747443890462125, 0.599906333459238, 0.7693701843168106, 0.235684047378952]",Could you guide me to a hotel that accepts credit card payments and has a 4.5-star rating?,0.7,0.9249118566513062,-0.0,1
27,"[0.7310625182516804, 0.2260313104613041, 0.9697870123410723, 0.7310309582922855, 0.20685815962596604, 0.7671786272812151]",Could you guide me to a highly-rated museum nearby?,1.0,0.7556162178516388,-0.0,0
