Index,utterance,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance,Critical
0,"Navigate to a stylish bakery, if you would b. so gracious.",0.2,0.0,-0.0,1
1,"Navigate to a stylish bakery, if you would be uh so kind. Contactless payment is accepted.",0.2,0.0,-0.0,1
2,Could you kindly direct me to a chic bakery that accepts contactless payments?,0.2,0.0,-0.0,1
3,"Navigate a trendy bakery with contactless payment and parking, please.",0.2,0.0,-0.0,1
4,"Navigate a stylish hotel, please. accept contactless payments!",0.2,0.0,-0.0,1
5,"Navigate trendy bakery with low prices, please.",0.2,0.0,-0.0,1
6,"Could you guide me to a cool cafe? Parking's available, and I prefer contactless like payment.",0.2,0.0,-0.0,1
7,"Navigate to a trendy bakery with um low prices and parking, please.",0.2,0.0,-0.0,1
8,"Navigate to a. trendy bakery, please. Make sure theirs contactless payment and parking available.",0.2,0.0,-0.0,1
9,"Navigate a trendy hotel, please. They accept contactless payment!",0.2,0.0,-0.0,1
10,"Navigate to stylish cafe with contactless payment options, please.",0.2,0.0,-0.0,1
11,"Navigate to stylish hotel, please. They take contactless payments!",0.2,0.0,-0.0,1
12,"Navigate to trendy hotel, please. Contactless payment and parking options are available!",0.2,0.0,-0.0,1
13,"Navigate to a fancy bakery, please. Parking's available and card uh only!",0.2,0.0,-0.0,1
14,"Navigate trendy supermarket contactless payment and parking available, please.",0.2,0.0,-0.0,1
15,"Navigate chic hotel, if you would be so kind. Contactless payment is available.",0.2,0.0,-0.0,1
16,Could yue please guide me tu a trendy bakery that takes contactless payments?,0.2,0.0,-0.0,1
17,"Navigate to a trendy bakery, please. you know Contactless payment and parking are available!",0.2,0.0,-0.0,1
18,"Navigate to a cool bakery, please, with low uh prices and contactless payment.",0.2,0.0,-0.0,1
19,Could you plese direct me to a hip bakery that accepts contactless payments?,0.2,0.0,-0.0,1
