Index,vars,utterance,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance,Critical
0,"[0.7988387368594724, 0.38788357536758444, 0.7822206134599218, 0.8470115791211291, 0.6016725254063002]","Could you please guide me to a Greek restaurant with a 4.5 rating? Credit card accepted and parking available, right?",1.0,0.9640928506851196,-0.0,0
1,"[0.3488274008880592, 0.5783175255477132, 0.6770435828058756, 0.8572870655824709, 0.5941050611323858]",Could please guide me to a low-priced French restaurant with parking?,1.0,0.9640928506851196,-0.0,0
2,"[0.3628739170221267, 0.11541680797604843, 0.23265005499400032, 0.2534586336652919, 0.3932721266957336]",Navigate a museum 3.5 rating. Parking is available.,1.0,0.9626623690128326,-0.0,0
3,"[0.9236002047656797, 0.7883966614633412, 0.08804859546574506, 0.5386710118994141, 0.3656341971297058]","Navigate to a hotel with a 5-star rating, please. Contactless payment and parking available.",1.0,0.9249118566513062,-0.0,0
4,"[0.46817264859524327, 0.3130519092609631, 0.01904486766967564, 0.2714193495032807, 0.9848976593150499]",Navigate a bar with mobile payment options and a good rating.,1.0,0.9390982389450073,-0.0,0
5,"[0.22687005487490103, 0.31172810357718234, 0.17721301741216494, 0.13829888772848478, 0.048378126916572034]",Navigate to a museum with a rating of at least 3.5.,1.0,0.9626623690128326,-0.0,0
6,"[0.07985489677826217, 0.14739553199225752, 0.27563411992323844, 0.6538859782365307, 0.9958480643764958]",Navigate to a cafe that serves German food and has contactless payment.,0.4,0.832989513874054,-0.0,1
7,"[0.04582598040551627, 0.7822502849027254, 0.23505726960903728, 0.5640184658896512, 0.945086959184623]","Navigate to I mean a supermarket that accepts mobile payments, medium prices.",1.0,0.8911634385585785,-0.0,0
8,"[0.7859055960472797, 0.010355574754471686, 0.924109220779172, 0.8489474511463304, 0.23774331602113416]","Navigate to a medium-priced hotel with a 4.5 rating, please.",0.4,0.6849897503852844,-0.0,1
9,"[0.14257443037698697, 0.2916421142128312, 0.9297378477716672, 0.7733560847932568, 0.5761278159238264]",Could you please guide me to a nearby museum?,1.0,0.9626623690128326,-0.0,0
10,"[0.8072544653589137, 0.09686136592844037, 0.9518389445091608, 0.2619176422113198, 0.2650932187295749]",Navigate to museum 5-star rating. Parking available.,1.0,0.9626623690128326,-0.0,0
11,"[0.8130001944684018, 0.6658036540873769, 0.8409172694102376, 0.6274104769318114, 0.6357569352154592]",Could you guide to museum with a perfect rating and parking?,1.0,0.9626623690128326,-0.0,0
12,"[0.39688959790411027, 0.5259021688550887, 0.7885256314499334, 0.27590518615416043, 0.6263649204442049]",Navigate to a hotel with contactless payment and parking available.,0.7,0.9249118566513062,-0.0,1
13,"[0.08795715463553383, 0.471597318863502, 0.3390909084372762, 0.9874266250155083, 0.5305957582365732]",Could yue please guide me tue a nearby bakery?,1.0,0.8752301037311554,-0.0,0
14,"[0.30850241259513406, 0.3094659202091002, 0.4638103281354054, 0.7442235381034871, 0.5300606329859239]",Could you please guide to a high-priced bar with mobile payment options and a rating 3.5?,1.0,0.9390982389450073,-0.0,0
