Index,Content Feat,Style Feat,No RAG,RAG
1,"{'category': 'bar', 'payment_method': 'MOBILE_PAYMENT', 'parking': 'available', 'price_range': 'high', 'word_perturbation': 'introduce_homophones_static'}","{'rating': 4.5, 'slang': 'neutral', 'implicitness': 'slightly implicit', 'politeness': 'very rude', 'anthropomorphism': 'very directive'}",Navigate to a high-rated barre withe mobile payment option's and parking.,Navigate to a. high-rated bar withe mobile payment and parking.
2,"{'category': 'hotel', 'food_type': 'turkish', 'parking': 'available', 'word_perturbation': 'introduce_homophones_static'}","{'slang': 'neutral', 'implicitness': 'slightly implicit', 'politeness': 'very rude', 'anthropomorphism': 'empathic'}","Navigate to ay hotel with available parking, alright?","Navigate tew a. hotel with available parking, please."
3,"{'category': 'supermarket', 'payment_method': 'CONTACTLESS', 'food_type': 'american', 'parking': 'available', 'word_perturbation': 'introduce_homophones_static'}","{'slang': 'formal', 'implicitness': 'not implicit', 'politeness': 'very polite', 'anthropomorphism': 'empathic'}",Could you please deregt mi to a supermarket withe contactless payment and available parking?,Could uwe plese guide me tue a supermarket with contactless payment and available parking?
4,"{'category': 'restaurant', 'payment_method': 'CASH', 'parking': 'available', 'price_range': 'low', 'word_perturbation': 'introduce_homophones_static'}","{'rating': 4.5, 'slang': 'slangy', 'implicitness': 'implicit', 'politeness': 'polite', 'anthropomorphism': 'interrogative'}",Could you pointe me too a low-priced restaurant withe kash payment and good ratings?,Can yu pointe me two a low-priced restaurant with kasch payment and good parking?
5,"{'category': 'hotel', 'payment_method': 'CASH', 'food_type': 'japanese', 'price_range': 'medium'}","{'rating': 4, 'slang': 'slangy', 'implicitness': 'not implicit', 'politeness': 'neutral', 'anthropomorphism': 'interrogative'}","Navigate to a hotel with a decent rating, cash only.","Can you help me find a medium-priced hotel? Cash only, please."
6,"{'category': 'museum', 'payment_method': 'CASH', 'food_type': 'greek', 'parking': 'available', 'price_range': 'high'}","{'rating': 5, 'slang': 'formal', 'implicitness': 'not implicit', 'politeness': 'rude', 'anthropomorphism': 'very directive'}",Navigate to a museum with a 5-star rating and parking available.,Navigate to a museum with a 5-star rating and parking available.
7,"{'category': 'bakery', 'food_type': 'greek', 'price_range': 'low', 'word_perturbation': 'delete_words'}","{'rating': 3.5, 'slang': 'neutral', 'implicitness': 'slightly implicit', 'politeness': 'polite', 'anthropomorphism': 'very directive'}","Navigate a bakery with low prices, please.",Can find a low-priced bakery nearby?
8,"{'category': 'museum', 'food_type': 'turkish', 'parking': 'available', 'word_perturbation': 'introduce_homophones_static'}","{'rating': 3.5, 'slang': 'formal', 'implicitness': 'implicit', 'politeness': 'polite', 'anthropomorphism': 'very directive'}",Navigate tu a museum withe a 3.5 rating and parking available.,Navigate tu a museum withe a 3.5 rating. Parking available.
9,"{'category': 'bar', 'payment_method': 'MOBILE_PAYMENT', 'food_type': 'greek', 'word_perturbation': 'delete_words'}","{'rating': 4.5, 'slang': 'slangy', 'implicitness': 'implicit', 'politeness': 'polite', 'anthropomorphism': 'directive'}",Navigate a bar mobile payment options and 4.5 rating.,"Navigate a bar nearby, accepting mobile payment, rated 4.5."
10,"{'category': 'supermarket', 'payment_method': 'CREDIT_CARD', 'food_type': 'japanese', 'word_perturbation': 'delete_words'}","{'slang': 'formal', 'implicitness': 'not implicit', 'politeness': 'polite', 'anthropomorphism': 'empathic'}",Could you please direct me to a nearby supermarket? prefer to use credit card.,Could you please guide me to a supermarket accepts credit cards?
11,"{'category': 'supermarket', 'payment_method': 'CONTACTLESS', 'food_type': 'greek', 'parking': 'available', 'price_range': 'high'}","{'rating': 4, 'slang': 'slangy', 'implicitness': 'not implicit', 'politeness': 'rude', 'anthropomorphism': 'interrogative'}","Yo, where's a high-end supermarket with contactless payment and parking?","Yo, where's a high-end supermarket with contactless payment and parking?"
12,"{'category': 'restaurant', 'payment_method': 'MOBILE_PAYMENT', 'food_type': 'german', 'price_range': 'low', 'word_perturbation': 'introduce_fillers_llm'}","{'slang': 'slangy', 'implicitness': 'not implicit', 'politeness': 'rude', 'anthropomorphism': 'directive'}","Yo, um, find me a cheap German restaurant that takes mobile payments.","Navigate to a cheap, um, German restaurant that accepts mobile payment."
13,"{'category': 'restaurant', 'payment_method': 'CREDIT_CARD', 'food_type': 'vietnamese', 'parking': 'available'}","{'rating': 3.5, 'slang': 'neutral', 'implicitness': 'not implicit', 'politeness': 'rude', 'anthropomorphism': 'very directive'}",Navigate to a Vietnamese restaurant with a 3.5 rating and parking.,Navigate to a Vietnamese restaurant with a 3.5 rating and parking. Accepts credit cards.
14,"{'category': 'restaurant', 'payment_method': 'MOBILE_PAYMENT', 'food_type': 'turkish', 'price_range': 'medium', 'word_perturbation': 'introduce_fillers_llm'}","{'rating': 4, 'slang': 'slangy', 'implicitness': 'not implicit', 'politeness': 'very rude', 'anthropomorphism': 'interrogative'}","Yo, um, where's a decent Turkish spot with mobile payment? Four stars!","Yo, um, find me a Turkish restaurant with mobile payment and a 4-star rating, alright?"
15,"{'category': 'cafe', 'payment_method': 'CASH', 'food_type': 'mexican', 'parking': 'available', 'price_range': 'medium'}","{'rating': 5, 'slang': 'slangy', 'implicitness': 'slightly implicit', 'politeness': 'very polite', 'anthropomorphism': 'very directive'}",Could you please guide me to a medium-priced Mexican cafe with cash payment and a perfect rating? Parking should be available.,"Navigate to a cafe with Mexican food, cash only, 5 stars, medium price, parking available."
16,"{'category': 'cafe', 'food_type': 'chinese', 'parking': 'available', 'word_perturbation': 'introduce_homophones_static'}","{'rating': 5, 'slang': 'formal', 'implicitness': 'slightly implicit', 'politeness': 'polite', 'anthropomorphism': 'interrogative'}",Could yu please guide mi to a highly rated Chinese cafe withe parking?,Could hugh guide me too a highly rated Chinese cafe withe parking?
17,"{'category': 'supermarket', 'payment_method': 'CREDIT_CARD', 'food_type': 'italian', 'parking': 'available', 'price_range': 'low', 'word_perturbation': 'delete_words'}","{'rating': 3.5, 'slang': 'slangy', 'implicitness': 'implicit', 'politeness': 'rude', 'anthropomorphism': 'interrogative'}","Hey, where's a cheap supermarket parking? Card only, please.","Yo, where's a cheap supermarket parking? Card only, please."
18,"{'category': 'museum', 'payment_method': 'MOBILE_PAYMENT', 'food_type': 'greek', 'parking': 'available', 'word_perturbation': 'delete_words'}","{'rating': 4, 'slang': 'slangy', 'implicitness': 'slightly implicit', 'politeness': 'very polite', 'anthropomorphism': 'interrogative'}","Could you help me find a museum solid 4-star rating? Parking's gotta be available, right?",Could you guide me to museum a solid 4-star rating? Parking's must!
19,"{'category': 'supermarket', 'payment_method': 'MOBILE_PAYMENT', 'food_type': 'italian', 'price_range': 'high', 'word_perturbation': 'introduce_fillers_llm'}","{'rating': 4.5, 'slang': 'formal', 'implicitness': 'implicit', 'politeness': 'very rude', 'anthropomorphism': 'empathic'}","Navigate to a high-end supermarket, um, that accepts mobile payments.","Navigate to a high-end supermarket, um, that accepts mobile payments."
20,"{'category': 'supermarket', 'payment_method': 'CONTACTLESS', 'price_range': 'medium', 'word_perturbation': 'delete_words'}","{'rating': 5, 'slang': 'formal', 'implicitness': 'slightly implicit', 'politeness': 'polite', 'anthropomorphism': 'empathic'}",Could you please guide to medium-priced supermarket that accepts contactless payments?,Could you please guide to medium-priced supermarket that accepts contactless payments?
