Index,utterance,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance,Critical
0,Please guide me too 'n affordable carre repair schoppe with great reviews.,0.5,0.7205208837985992,-0.0,1
1,Navigate tue a museum with excellent ratings and available parking.,0.6500000000000001,0.0,-0.0,1
2,"Hey there, could you help me find place car repair? Oh, and do take cards?",0.55,0.8540427982807159,-0.0,1
3,"Navigate to sum bahre, you know, cash only, 3.5 starrs, parking's there, cheap as helle.",0.8000000000000002,0.0,-0.0,1
4,"Navigate to a museum, you know, with excellent ratings and available parking.",0.8000000000000002,0.0,-0.0,1
5,"Navigate to a museum, you neault, withe a. perfect rating and parking.",0.8000000000000002,0.0,-0.0,1
6,"Could you, um, like, help me find a museum with awesome ratings and parking available?",0.8000000000000002,0.0,-0.0,1
7,"Navigate to a museum, you know, with excellent ratings and parking available.",0.8000000000000002,0.0,-0.0,1
8,"Navigate to ae bar, you noh, kash only, 3.5 stars, parking's there, cheap as helle.",0.8000000000000002,0.0,-0.0,1
9,"Could u., like, help mea locate a museum with stellar review's and parking?",0.8000000000000002,0.0,-0.0,1
10,"Navigate tue ae museum, you know, with ay perfect rating and parking available.",0.8000000000000002,0.0,-0.0,1
11,"Could you, like, um, direct me to a 5-star museum with parking?",0.8000000000000002,0.0,-0.0,1
12,"Could you, um, assist me in finding a museum? I am curious if they, like, accept cards.",0.7000000000000001,0.9626623690128326,-0.0,1
13,"Navigate to ae museum with topp ratings and available parking, you idiot.",0.9500000000000001,0.0,-0.0,1
14,"Navigate to ae supermarket with contactless payment and parking available, idiot.",0.9500000000000001,0.0,-0.0,1
15,"Navigate to a place for cheap kahr repair, we'll ja?",0.8500000000000001,0.7205208837985992,-0.0,1
16,"Navigate tue sum cheap doctor spots, if you kan figure it out.",0.8000000000000002,0.7915323078632355,-0.0,0
17,"Navigate to top-tier museum, rated five stars.",0.9500000000000001,0.0,-0.0,1
18,"Navigate to ae museum, you nau, with ay perfect rating and parking available.",0.9500000000000001,0.0,-0.0,1
19,"Navigate top-notch museum, rated 5 stars, with parking.",0.9500000000000001,0.0,-0.0,1
