Index,vars,utterance,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance,Critical
0,"[0.0834609604734254, 0.10077752421061326, 0.030779531589599257, 0.11518690901434925, 0.38470418350083924]","Navigate to ae supermarket with contactless payment and parking available, idiot.",0.9500000000000001,0.0,-0.0,1
1,"[0.10663305699460342, 0.26691485622517885, 0.7711413927197476, 0.9587963840986793, 0.7712610528424445]","Could you, um, assist me in locating a nearby medical professional?",1.0,0.9583830535411835,-0.0,0
2,"[0.003873391574059415, 0.9448752239657909, 0.2500481049816558, 0.9160552181266131, 0.44731983211287213]",Could you please guide me to the nearest doctor? Thanks!,1.0,0.9583830535411835,-0.0,0
3,"[0.10297782241166172, 0.16385771976011276, 0.19137253516400435, 0.19643517896776141, 0.5255836072069564]","Navigate too a supermarket wehr I caen pay contactless, idiot.",1.0,0.8911634385585785,-0.0,0
4,"[0.8539855783530053, 0.7124915680487458, 0.26913042956984123, 0.38845139903897763, 0.8369414649363767]","Hey, can find me a high-end bar with contactless payment and a 5-star rating? Parking should be available too.",1.0,0.7290890216827393,-0.0,1
5,"[0.9054116204515219, 0.8878138326061493, 0.37158199098445843, 0.8166373778266468, 0.6020342006903203]","Could you help me find a medium-priced Thai place top ratings? Mobile payment, please!",0.9500000000000001,1.0,-0.0,0
6,"[0.9423049517256944, 0.8744533719306008, 0.3098124112479204, 0.9991076168171601, 0.03428393740721944]","Navigate to a museum, you know, with a perfect rating and parking.",0.9500000000000001,0.0,-0.0,1
7,"[0.04659485476820409, 0.009435496006931526, 0.28667598289429597, 0.5176073262285886, 0.7810433287799778]","Navigate to, um, an American restaurant with available parking, accepting credit cards.",1.0,0.9640928506851196,-0.0,0
8,"[0.9136200923839884, 0.9157072142457281, 0.3788184085535617, 0.04044781858024579, 0.026873532276523227]","Navigate to a, um, top-rated Japanese restaurant that takes contactless payments, you idiot.",1.0,0.9640928506851196,-0.0,0
9,"[0.3137702874172963, 0.7318098270364395, 0.656673329696104, 0.7466159197158619, 0.40498892959534494]",Could you help me find a. low-priced hotel withe ae decent rating?,1.0,0.9687078595161438,-0.0,0
10,"[0.03868685652466555, 0.46004705754118347, 0.5817781436355007, 0.7549731858876031, 0.09252104947852657]","Could you, um, help me locate a low-priced bakery nearby?",1.0,0.8752301037311554,-0.0,0
11,"[0.7283132417892676, 0.7544322568290369, 0.2450219877628898, 0.9692719508345079, 0.7534878932438993]","Hey, can you, like, find me a medium-priced American restaurant with a solid 4.5 rating? Oh, and parking should be available, right?",1.0,0.9640928506851196,-0.0,0
12,"[0.035239251115011055, 0.5165159738361875, 0.9729111452112019, 0.6544208428135706, 0.03158237985990933]","I need some assistance with a car issue, but it might cost a bit.",1.0,0.8540427982807159,-0.0,0
13,"[0.3186962816393275, 0.7815788842277644, 0.8606713933156933, 0.9482448151307405, 0.8649700664542017]",I'm craving some middle eastern food at a cozy spot with a decent rating. Do they take contactless payments?,1.0,0.832989513874054,-0.0,0
14,"[0.5209432201948107, 0.29762956950838376, 0.39467006720915504, 0.8706770590149779, 0.10504842000028305]","Please, um, guide me to a bar with low prices, good rating, and mobile payment options.",1.0,0.9390982389450073,-0.0,0
15,"[0.8634767891916554, 0.428525427231898, 0.5833405879008866, 0.9183607294892266, 0.7161198575136499]",Could you help find a low-priced Chinese restaurant with a contactless payment option? should have a perfect rating.,0.9500000000000001,1.0,-0.0,0
