Index,vars,utterance,answer,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance
0,"[0.703959397175076, 0.4207385537106501, 0.008466594016702023, 0.2484151750807055, 0.6413767549720419, 0.14639898814475455]","Hey, can you find me a cheap American restaurant with a 4.5 rating that accepts mobile payments?",I couldn't find any American restaurants that meet your criteria of being cheap,0.4,1.0,-0.0
1,"[0.4186880753887534, 0.004878291701083309, 0.9142248590998113, 0.48337968140987553, 0.08466978324733493, 0.3579154363756571]","Please find a low-priced Mexican restaurant with cash payment and parking, rated 4 stars.",I couldn't find any low-priced Mexican restaurants that accept cash and have parking available,0.7,1.0,-0.0
2,"[0.2959097400282506, 0.2052692917890389, 0.8970279832610365, 0.45275115908250846, 0.7010957286772711, 0.09166927527975044]",Could you help me find a medium-priced Vietnamese restaurant with contactless payment and a rating of 3.5?,I couldn't find any Vietnamese restaurants that match your criteria for medium price,0.4,1.0,-0.0
3,"[0.5278680785446567, 0.5175326767997668, 0.198091855701178, 0.3484895172628802, 0.4393841710427904, 0.0022038224615346658]","Find me an Indian restaurant, cash only, 4 stars, cheap, with parking.",I couldn't find any Indian restaurants that match your criteria of cash only,0.4,1.0,-0.0
4,"[0.6651618627607896, 0.5670576341897625, 0.5409151980230206, 0.32863731176249505, 0.41423446152428445, 0.07063166537840632]","Find me a hotel, 4.5 stars, low price, parking available.",I couldn't find any hotels that match your criteria of 4.5 stars,0.4,1.0,-0.0
5,"[0.9291085063151335, 0.061131154213793185, 0.9910174665223415, 0.29984487362698975, 0.400056775397549, 0.1535114249668102]","Find a low-priced hotel, cash only, 5 stars.",I couldn't find any low-priced,0.0,1.0,-0.0
6,"[0.31789550124532717, 0.2622492222670908, 0.5097458241395111, 0.7575893087008335, 0.2399818968623207, 0.1059751551710546]","Could you please find an Indian restaurant with a medium price range and contactless payment? Parking should be available, and a rating of at least 3.5 would be great.",I couldn't find any Indian restaurants in Munich that meet your criteria for a medium price range,0.4,1.0,-0.0
7,"[0.9816913002698824, 0.8814794110160215, 0.6017759443426162, 0.07390061583839724, 0.5043462226711896, 0.7419995934312318]","Hey, where's a cheap Greek place with parking and a 5-star rating?",I couldn't find any Greek restaurants that meet your criteria of being cheap,0.4,1.0,-0.0
8,"[0.9544824490259407, 0.3368101155719804, 0.35359863044955203, 0.3361659233226551, 0.9615644523307902, 0.3779800414401367]","Find a cheap Turkish restaurant, cash only, 5 stars.",I couldn't find any Turkish restaurants that meet your criteria of being cheap,0.4,1.0,-0.0
9,"[0.18208304695552233, 0.42864589710245354, 0.8518582240650274, 0.14329241473881457, 0.3432972240959907, 0.4812488970581913]","Find me a bakery, will ya?",I'm sorry,0.0,1.0,-0.0
10,"[0.4413754068604754, 0.014490866182742312, 0.7250042453195377, 0.12630244369118332, 0.5880302795117648, 0.9671185174027532]",Could you point me to a high-priced Italian cafe that accepts cash and has a 4-star rating?,I'm sorry,0.0,1.0,-0.0
11,"[0.9982007944245219, 0.24833742272389783, 0.9881709355855284, 0.606608676676751, 0.5505308771569162, 0.33163804202217106]","Could you please find a hotel with contactless payment and a 5-star rating, where parking is available?",I couldn't find any hotels that meet your criteria of contactless payment,0.4,1.0,-0.0
12,"[0.550789039991956, 0.8146711018738197, 0.7396330575351979, 0.9435891184746141, 0.5827250000794916, 0.9612101960486525]",Could you help me find a low-priced Thai cafe with a credit card option and a 4-star rating?,I couldn't find any Thai cafes that match your criteria for low price,0.4,1.0,-0.0
13,"[0.2318445383301188, 0.3838900338745233, 0.4385086382070155, 0.009810618209512456, 0.11400587778560448, 0.009839380023821287]","Find me a cheap hotel, 3.5 stars, mobile payment.",I couldn't find any hotels that match your criteria for a cheap price,0.4,1.0,-0.0
14,"[0.6790035459431134, 0.3465695958295157, 0.6091127031743608, 0.2913624822996219, 0.03632000306586175, 0.8350188700099972]","Find a middle eastern cafe with cash payment, 4.5 stars, medium prices, and parking.",I couldn't find any Middle Eastern cafes that match your criteria for cash payment,0.5,1.0,-0.0
15,"[0.12703706105165163, 0.21766313388174177, 0.578129765582012, 0.4534353658355053, 0.533788128549592, 0.28376109937513183]",Could you help me find a low-priced bakery nearby?,I couldn't find any nearby bakeries. Would you like assistance with something else?,0.5,1.0,-0.0
16,"[0.7332465937336669, 0.3242128446873256, 0.7677871576841092, 0.35745634373685503, 0.7894150795280201, 0.7542184596895449]","Find a bar with mobile payment, 4.5 stars, low prices.",I couldn't find any bars that match your criteria of mobile payment,0.4,1.0,-0.0
17,"[0.34447021633850095, 0.7099168321754263, 0.6543499447902739, 0.1355167583810487, 0.2575846902360497, 0.2883796954970141]","Find me a cheap hotel, like, with mobile payment and 3.5 stars.",I couldn't find any hotels that match your criteria of being cheap,0.4,1.0,-0.0
18,"[0.23014068450094843, 0.8723835751323811, 0.42801152104265805, 0.2763137943932693, 0.7699100358119864, 0.10397140857640846]","Hey, find me a cheap Italian spot, like, with mobile payment and a decent 3.5 rating.",I couldn't find any Italian restaurants that match your criteria for being cheap,0.4,1.0,-0.0
19,"[0.09331941745785777, 0.6564381632776259, 0.4726334486014252, 0.11745751369188753, 0.3236540734180951, 0.36755807889698044]","Find me a cheap supermarket, will ya?",I couldn't find any supermarkets nearby. Would you like me to help with something else?,0.5,1.0,-0.0
20,"[0.2937769056911914, 0.4055917776419028, 0.6505884472005131, 0.515922613909311, 0.10770155249793228, 0.4344054510191983]","Show me a bar with contactless payment, low price, and 3.5 stars.",I couldn't find any bars that match your criteria for contactless payment,0.4,1.0,-0.0
21,"[0.19372561700291696, 0.8944274306550014, 0.9467963275842304, 0.31542847283527475, 0.6636341119713856, 0.4431832036981249]","Hey, where's the nearest bakery, huh?",I'm sorry,0.0,1.0,-0.0
22,"[0.24967399698537582, 0.603100620713708, 0.677037750750205, 0.727241460322834, 0.5656179463550142, 0.06755214890984795]",Could you help me find a high-priced bar that accepts cash and has a 3.5 rating?,I couldn't find any bars that match your criteria of being high-priced,0.4,1.0,-0.0
23,"[0.05259857539472637, 0.716388314554102, 0.392955332261532, 0.07000007694012488, 0.9601342132399155, 0.694854170343552]","Hey, find me a supermarket with credit card payment, medium prices, and parking.",I couldn't find any supermarkets that match your criteria for credit card payment,0.4,1.0,-0.0
24,"[0.3558399022803683, 0.39388951669269134, 0.16901507920547676, 0.058487581469305265, 0.1802078118953017, 0.9136787410179888]",Find a medium-priced Vietnamese cafe with contactless payment and a 3.5 rating.,I couldn't find any Vietnamese cafes that match your criteria for medium price,0.4,1.0,-0.0
25,"[0.7642005794810234, 0.09444647183052637, 0.2264188653687354, 0.9835077770989655, 0.38702370775249884, 0.27428349781522926]","Could you please find a hotel with contactless payment and parking available, rated 4.5 stars?",I couldn't find any hotels that meet your criteria of contactless payment,0.4,1.0,-0.0
26,"[0.5117386298613693, 0.8690319418943274, 0.7817125541045205, 0.8455795681989334, 0.9118037963197907, 0.3881103932061227]",Could you help me find a high-priced cafe with a 4-star rating that takes credit cards?,I couldn't find any cafes that match your criteria of being high-priced,0.4,1.0,-0.0
27,"[0.37465496183539687, 0.08529155131341251, 0.08184462037648202, 0.5211569461229384, 0.6486481376319088, 0.8691340728380287]",Could you please find a medium-priced Vietnamese restaurant with contactless payment and a rating of 3.5?,I couldn't find any Vietnamese restaurants that match your criteria for medium price,0.4,1.0,-0.0
28,"[0.9206588659291172, 0.6279264027981128, 0.7045293963257052, 0.45127850330904995, 0.1756031329182433, 0.1838997071461474]","Find a hotel with good parking, cash payment, and a 5-star rating.",I couldn't find any hotels that match your criteria of good parking,0.4,1.0,-0.0
