Index,vars,utterance,answer,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance
0,"[0.2992345610694453, 0.15, 0.85, 0.23, 0.51, 0.27]","Could you point me to a bar with low prices and contactless payment, rated around 3.5?",I couldn't find any bars that match your criteria of low prices,0.4,1.0,-0.0
1,"[0.5976985341468254, 0.41, 0.01, 0.04, 0.46, 0.19]","Locate a Turkish eatery with mobile payment, 4 stars, medium price.",I couldn't find any Turkish eateries that match your criteria for mobile payment,0.4,1.0,-0.0
2,"[0.36207533109100387, 0.99, 0.47, 0.23, 0.28, 0.39]","Hey, show me a cafe with decent parking, yeah? Credit card's cool, 3.5 stars, medium price.",I couldn't find any cafes that match your criteria for decent parking,0.4,1.0,-0.0
3,"[0.15754294222302934, 0.42, 0.36, 0.23, 0.23, 0.39]","Locate a cafe with decent parking, credit card's cool, medium price.",I couldn't find any cafes that match your criteria for decent parking,0.4,1.0,-0.07302506122753971
4,"[0.2156687496919298, 0.13, 0.85, 0.23, 0.51, 0.27]","Could you direct me to a bar with affordable prices and contactless payment, rated around 3.5?",I couldn't find any bars that match your criteria for affordable prices,0.4,1.0,-0.07871495945889728
5,"[0.0029871844523870345, 0.16, 0.82, 0.24, 0.51, 0.41]","Could you direct me to a bar with decent parking, accepting credit cards, and reasonably priced?",I couldn't find any bars that meet your criteria for decent parking,0.4,1.0,-0.07807891573970993
6,"[0.13359590976318703, 0.5812195374943587, 0.6110864426065785, 0.4848507081711365, 0.6759452568491147, 0.20691244374668044]",Could you help me find a low-priced bakery nearby?,I couldn't find any nearby bakeries. Would you like assistance with something else?,0.5,1.0,-0.0899253452601041
7,"[0.17937110110147003, 0.7012733644787716, 0.4158204122167675, 0.708763376696071, 0.715641204363525, 0.5266542323082037]",Could you help me find a low-priced bakery nearby?,I couldn't find any nearby bakeries. Would you like assistance with something else?,0.5,1.0,-0.0899253452601041
8,"[0.20633040992150217, 0.37, 0.85, 0.23, 0.64, 0.27]","Could you, like, point me to a low-priced bar with around 3.5 stars?",I'm sorry,0.0,1.0,-0.0752806080949675
9,"[0.33459143547034687, 0.09, 0.85, 0.23, 0.51, 0.26]","Could you point me to a bar with low prices and contactless payment, rated around 3.5?",I couldn't find any bars that match your criteria of low prices,0.4,1.0,-0.07812864476321191
