Index,utterance,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance,Critical
0,"Navigate to a supermarket, um, there's, like, parking, right? Contactless payment?",0.125,0.0,-0.0,1
1,Can you find low-priced hotel cash payment and parking?,0.375,0.6527240872383118,-0.05869665900238741,1
2,"Navigate to, um, a high-end supermarket. Got it?",0.375,0.7461632192134857,-0.10517711200288238,1
3,Could please guide me to medium-priced hotel a solid 4-star rating?,0.5,0.6849897503852844,-0.07835270149159512,1
4,Could ewe please guide me to ay high-rated bahr that accepts mobile payments?,0.75,0.0,-0.10947583008569994,1
5,"Yo, where's ae supermarket withe high prices and kasch only?",0.75,1.0,-0.12581606762563824,0
6,Could you help mi fined a high-end bakery nearby?,0.875,0.0,-0.11888213204694253,1
7,Could yew please help me find ae bakery nearby?,1.0,0.8752301037311554,-0.13465424969146178,0
8,"Navigate to a supermarket, um, cash only, like, parking's there, right?",0.25,0.0,-0.0,1
9,"Haye, point mea tue ay fancy bar around here. I'm parched!",0.25,0.0,-0.0,1
10,"Navigate to a supermarket, um, mobile payment's cool, and, like, parking's there, right?",0.25,0.0,-0.0,1
11,"Navigate thuy a bakery, umm, is their parking available?",0.25,0.0,-0.0,1
12,Could uwe assist me in locating a nearby bahr?,0.25,0.0,-0.0,1
13,"Navigate to a cafe, you know, serving delicious Mexican food.",0.75,0.832989513874054,-0.10681373096825264,0
14,"Navigate to ay high-rated hotel. Kasch only, please.",0.75,0.0,-0.08109947115374128,1
15,"Navigate to a bakery, um, nearby. I need some fresh bread.",1.0,0.8752301037311554,-0.11460513105647674,0
16,"Navigate to ae chill barre that takes kash, you know?",0.5,0.0,-0.0,1
17,Could you please find high-rated hotel that accepts cash?,0.75,0.784639984369278,-0.06467565378431761,0
18,"Navigate to, um, a bakery nearby, please.",1.0,0.8752301037311554,-0.10080124875455243,0
19,"Navigate to medium-priced bakery nearby, please.",1.0,0.8752301037311554,-0.09594698620527631,0
