Index,vars,utterance,answer,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance
0,"[0.6655657102947667, 0.5850231597648287, 0.6172405018213216, 0.6606736838517563, 0.2919955347033507]","Navigate to a, um, high-rated hotel with available parking, please.","I found the Philadelphia Gateway Parking Facility, rated 4.5/5, which offers parking. Would you like me to navigate there? Or do you have other preferences in mind?",1.0,0.6769927144050598,-0.0
1,"[0.31399826482831167, 0.520576396173299, 0.6911281440839085, 0.12678256858059195, 0.7305190632105092]","Find me ay low-priced hotel withe contactless payment, rated 3.5.","It seems I couldn't find a low-priced hotel with contactless payment rated 3.5. However, I found ""Make Me Dreadful,"" a highly-rated hair salon. Would you like to navigate there, or do you have other preferences in mind?",1.0,0.6809072345495224,-0.0
2,"[0.601848472503928, 0.59, 0.62, 0.66, 0.29]","Navigate to a, um, high-rated hotel with available parking, please.","I found the Philadelphia Gateway Parking Facility, rated 4.5/5, which offers parking. Would you like me to navigate there? Or do you have other preferences in mind?",1.0,0.6769927144050598,-0.0
3,"[0.09636454821390852, 0.47, 0.06, 0.53, 0.76]",Navigate to ae supermarket with parking. Credit card accepted.,"Sorry, I cannot find any relevant places.",0.875,0.0,-0.0
4,"[0.037560326637997, 0.59, 0.62, 0.66, 0.29]","Could you, um, guide me to a high-end supermarket with available parking, please?","I found DASHED, a food delivery service rated 2.0/5, located at 310 E Girard Ave. Would you like me to navigate there, or do you have other preferences in mind?",0.375,0.7461632192134857,-0.0
5,"[0.13167373741270794, 0.47, 0.04, 0.53, 0.76]",Navigate to a. supermarket with parking. Credit card accepted.,"Sorry, I cannot find any relevant places.",0.75,0.0,-0.0
6,"[0.9524630556732308, 0.87, 0.43, 0.77, 0.86]","Could you, like, help locate stellar museum a 5-star rating?","Sorry, I cannot find any relevant places.",0.75,0.0,-0.0
7,"[0.7030457255922695, 0.59, 0.62, 0.66, 0.28]","Please, um, navigate to a high-rated hotel with parking available, using a credit card.","I found the Philadelphia Gateway Parking Facility, rated 4.5/5, but it’s primarily a parking place, not a hotel. Would you like to navigate there, or do you have other preferences in mind?",0.75,0.6769927144050598,-0.0
8,"[0.4737490281524962, 0.7714381372683008, 0.42196763396428816, 0.7041798369892159, 0.49507760013278057]",Navigate thuy a hotel withe a solid 4-star rating and parking.,"Sorry, I cannot find any relevant places.",0.875,0.0,-0.05245536162032749
9,"[0.7202208746318581, 0.59, 0.62, 0.66, 0.29]",Navigate to ay hotel with a. 4.5-star rating and parking available.,"I found the Philadelphia Pet Hotel & Villas, rated 4.5 stars, located at 7401 Holstein Ave. Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.6322984993457794,-0.0
10,"[0.18234235813172756, 0.6364560638482386, 0.775720235831138, 0.3972803486823525, 0.5982860126622572]","Navigate to, um, a high-end supermarket. Got it?","I found DASHED, a food delivery service rated 2.0/5, located at 310 E Girard Ave. Would you like to navigate there, or do you have other preferences in mind?",0.375,0.7461632192134857,-0.10517711200288238
11,"[0.5092458765890268, 0.9904606661734968, 0.934191920571866, 0.8284763614370485, 0.41026863975977745]","Navigate tue ay cafe with German food, parking's available, and card accepted.","Sorry, I cannot find any relevant places.",0.75,0.0,-0.08590966497918195
12,"[0.31144099316144713, 0.56, 0.39, 0.34, 0.73]",Navigate tu ay barre with low prices and parking available.,"Sorry, I cannot find any relevant places.",0.75,0.0,-0.0
13,"[0.11585811793396524, 0.59, 0.62, 0.66, 0.29]","Please, um, guide me to a premium supermarket with parking spots available.","I found DASHED, a premium food service with parking available, rated 2.0/5. Would you like me to navigate there? Or do you have other preferences in mind?",1.0,0.7461632192134857,-0.0
14,"[0.6055154935017589, 0.59, 0.62, 0.66, 0.29]",Navigate to a. hotel with ay 4.5-star rating and parking available.,"It seems the only relevant option is a luxury car service, not a hotel. Would you like to navigate there, or do you have other preferences in mind?",0.5,0.9249118566513062,-0.0
15,"[0.6262267916184082, 0.59, 0.03, 0.65, 0.29]",Please navigate to a hotel withe ay 4.5 rating and available parking.,"I found the Philadelphia Pet Hotel & Villas, rated 4.5/5, located at 7401 Holstein Ave. Would you like me to navigate there? If you have other preferences or places in mind, just let me know!",1.0,0.6322984993457794,-0.0
16,"[0.2727516937475234, 0.56, 0.48, 0.34, 0.28]","Navigate thuy ae bar withe a decent rating, parking available, and accept credit cards.","Sorry, I cannot find any relevant places.",0.75,0.0,-0.0
17,"[0.6028409317534773, 0.59, 0.62, 0.66, 0.29]","Please guide mee to a. well-rated hotel withe parking available, if you could.","It seems the only option available is Park It PA, but it has a low rating of 1.0/5. Would you like to navigate there, or do you have other preferences in mind?",1.0,0.6769927144050598,-0.0
18,"[0.02368774021962075, 0.59, 0.62, 0.54, 0.99]",Could you help mi fined a high-end supermarket withe mobile payment options?,"I found DASHED, a food delivery service with mobile payment options, but it has a low rating of 2.0/5. Would you like me to navigate there, or do you have other preferences in mind?",0.75,0.7461632192134857,-0.0
19,"[0.6804310910812911, 0.59, 0.62, 0.66, 0.29]","Please, um, navigate to a well-rated hotel with parking available, if possible.","I found the Philadelphia Gateway Parking Facility, rated 4.5/5, which offers parking. Would you like me to navigate there? If you have other preferences or places in mind, let me know!",1.0,0.6769927144050598,-0.0
