Index,vars,utterance,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance,Critical
0,"[0.0834609604734254, 0.10077752421061326, 0.030779531589599257, 0.11518690901434925, 0.38470418350083924]","Navigate to ay supermarket with contactless payment and parking available, idiot.",1.0,0.8911634385585785,-0.0,0
1,"[0.10663305699460342, 0.26691485622517885, 0.7711413927197476, 0.9587963840986793, 0.7712610528424445]","Could you, um, assist me in locating a nearby doctor?",1.0,0.9583830535411835,-0.0,0
2,"[0.003873391574059415, 0.9448752239657909, 0.2500481049816558, 0.9160552181266131, 0.44731983211287213]",Could you please direct me to a doctor nearby?,1.0,0.9583830535411835,-0.0,0
3,"[0.10297782241166172, 0.16385771976011276, 0.19137253516400435, 0.19643517896776141, 0.5255836072069564]","Navigate to a supermarket where AY cahn pei contactless and it's moderately priced, ewe idiot.",1.0,0.8911634385585785,-0.0,0
4,"[0.8539855783530053, 0.7124915680487458, 0.26913042956984123, 0.38845139903897763, 0.8369414649363767]","Hey, can find me a high-end bar contactless payment and parking?",1.0,0.9390982389450073,-0.0,0
5,"[0.9054116204515219, 0.8878138326061493, 0.37158199098445843, 0.8166373778266468, 0.6020342006903203]","Could you help me find medium-priced Thai spot a top rating? Mobile payment, please!",0.9500000000000001,1.0,-0.0,0
6,"[0.9423049517256944, 0.8744533719306008, 0.3098124112479204, 0.9991076168171601, 0.03428393740721944]","Hey, um, can you guide me to a top-rated museum? Parking's a must!",0.8000000000000002,0.0,-0.0,1
7,"[0.04659485476820409, 0.009435496006931526, 0.28667598289429597, 0.5176073262285886, 0.7810433287799778]","Could you, um, please guide me to an American restaurant with available parking that accepts credit cards?",1.0,0.9640928506851196,-0.0,0
8,"[0.9136200923839884, 0.9157072142457281, 0.3788184085535617, 0.04044781858024579, 0.026873532276523227]","Navigate me to a, like, top-rated Japanese restaurant that takes contactless payments, you idiot.",1.0,0.9640928506851196,-0.0,0
9,"[0.3137702874172963, 0.7318098270364395, 0.656673329696104, 0.7466159197158619, 0.40498892959534494]",Could you help me fined ae low-priced hotel with a. decent rating?,1.0,0.9687078595161438,-0.0,0
10,"[0.03868685652466555, 0.46004705754118347, 0.5817781436355007, 0.7549731858876031, 0.09252104947852657]","Could you, um, guide me to a low-priced bakery nearby?",1.0,0.8752301037311554,-0.0,0
11,"[0.7283132417892676, 0.7544322568290369, 0.2450219877628898, 0.9692719508345079, 0.7534878932438993]","Could you, um, take me to a medium-priced American restaurant with a solid 4.5 rating? Oh, and make sure they, like, accept contactless payments and have parking available!",1.0,0.9640928506851196,-0.0,0
12,"[0.035239251115011055, 0.5165159738361875, 0.9729111452112019, 0.6544208428135706, 0.03158237985990933]","I need to get my car fixed, but it won't be cheap.",0.8500000000000001,0.8540427982807159,-0.0,0
13,"[0.3186962816393275, 0.7815788842277644, 0.8606713933156933, 0.9482448151307405, 0.8649700664542017]","I'm craving some middle eastern food at a cozy cafe, you know? Maybe one that takes contactless payments and has a decent rating around 3.5.",1.0,0.832989513874054,-0.0,0
14,"[0.5209432201948107, 0.29762956950838376, 0.39467006720915504, 0.8706770590149779, 0.10504842000028305]","Please, um, guide me to a bar with low prices, good rating, and mobile payment options.",1.0,0.9390982389450073,-0.0,0
15,"[0.8634767891916554, 0.428525427231898, 0.5833405879008866, 0.9183607294892266, 0.7161198575136499]",Could you help me find low-priced Chinese restaurant with a contactless payment option and perfect rating?,0.9500000000000001,1.0,-0.0,0
16,"[0.11449770343832127, 0.8926002971447703, 0.1422336697826776, 0.5992129346528555, 0.9759604889565929]","Yo, I need to, like, grab some medium-priced bakery treats. Where they at?",1.0,0.8752301037311554,-0.0,0
17,"[0.09337600455266126, 0.8562859969015718, 0.4475629693177606, 0.12597472644269994, 0.24570427843261125]","Hey, find me a place to fix my ride, medium prices, you idiot.",1.0,0.8540427982807159,-0.0,0
18,"[0.24673322784785007, 0.43742327923397234, 0.9698785083171856, 0.0369637669146764, 0.12489604266972151]","Navigate to a barre with kash payment, 3.5 star's, parking available, cheap.",0.7000000000000001,0.9390982389450073,-0.0,1
19,"[0.10768811851890875, 0.3842238813643878, 0.5146700396046461, 0.38151518004155327, 0.8055122849499807]","Could you, um, help me find a high-end cafe that accepts contactless payments?",1.0,0.9026724696159363,-0.0,0
20,"[0.9593177356014575, 0.9513718146121795, 0.21710144411366367, 0.8700802708822098, 0.7586428049679086]","Hey, can you find me bar a solid rating? Contactless payment, please!",1.0,0.6178481578826904,-0.0,1
21,"[0.5491274385414993, 0.7667494465113, 0.30043614544975794, 0.6582467902850274, 0.7484782561526198]",Can you point me to a german cafe with a solid rating? Credit card accepted?,1.0,0.9026724696159363,-0.0,0
22,"[0.042392032928735196, 0.8975592391691181, 0.7295456003184368, 0.5271924691147637, 0.8009765563082805]","Hay, Imm' craving sum Greek food, and I prefer to pay cash.",1.0,0.9640928506851196,-0.0,0
