Index,vars,seed,utterance,answer,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance,Critical
0,"[0.4627181492993409, 0.1321099699075923, 0.6655247433848831, 0.5543787989679427, 0.827502337171333]",None,Could ewe please guide me two a high-priced Indian cafe with cache payment and parking available? It schuld halve ay rating of at least 4 stars.,"I recommend Palace at the Ben, an Indian cafe with a 4.0-star rating, located at 834 Chestnut St. 

Would you like me to navigate you there, or do you have other preferences in mind?",0.75,0.832989513874054,-0.0,0
1,"[0.8923495352528864, 0.5023947079709922, 0.6426669759388508, 0.533667513755336, 0.08176432601575365]",None,Navigate to a Turkish restaurant withe a. 5-star rating and parking.,"I recommend Authentik Byrek, a 5-star Turkish restaurant with parking available at 3500 Block On Market St. 

Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.9640928506851196,-0.0,0
2,"[0.8589859091054057, 0.8833052893630207, 0.4073464640265586, 0.7756112605204692, 0.8580005619495202]",None,Navigate a museum with a perfect 5-star rating.,"I recommend Museum Hack, which offers engaging tours and activities with a perfect 5-star rating. Would you like me to navigate there? Or do you have other places in mind?",1.0,0.7556162178516388,-0.0,0
3,"[0.7844525377689311, 0.27966529623472597, 0.07570472356563036, 0.6958232490085906, 0.03474001781740321]",None,Please navigate to a Japanese restaurant withe ay 4.5 rating and parking available.,"I found Tokyo Mandarin, a Japanese restaurant rated 4.5/5 with parking available at 7030 Castor Ave. Should I navigate there? If you have other preferences or places in mind, let me know!",1.0,0.9640928506851196,-0.0,0
4,"[0.9728908017776123, 0.9880920395339119, 0.23867239951175603, 0.7873502399295422, 0.8553864516755574]",None,Navigate to a low-priced restaurant with a 5-star rating and parking.,"I recommend K & A Sandwiches & Grocery, a 5-star rated restaurant with affordable prices and parking available. Should I navigate there? Or do you have other preferences in mind?",1.0,0.9640928506851196,-0.0,0
5,"[0.09253840588666853, 0.8005097011558803, 0.8532098150698086, 0.6596203302907268, 0.6064192099024246]",None,Could you help me find a low-priced bakery nearby?,"I recommend Luscious Bakery, rated 4.5/5 and known for its low prices. Would you like me to navigate there? Or do you have other preferences?",1.0,0.8752301037311554,-0.0,0
6,"[0.4350911931380571, 0.19403620372186164, 0.7363628186658819, 0.3922270099014139, 0.6482420532890418]",None,"Could you, um, point me to a low-priced Japanese cafe with contactless payment and a 4-star rating?","I recommend T-Swirl Crêpe, a Japanese cafe with a 4-star rating and low prices at 150 N 10th St. 

Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.832989513874054,-0.0,0
7,"[0.09162862169212567, 0.12334072559366274, 0.042426850282113265, 0.033291717033871154, 0.9764880119004189]",None,Navigate to a supermarket with available parking and accept credit cards.,"I recommend Great World Supermarket at 927 Arch St. It has parking and accepts credit cards. Should I navigate there? If you have other preferences or places in mind, let me know!",1.0,0.8911634385585785,-0.0,0
8,"[0.848610940101224, 0.4685503123602856, 0.10595957696780563, 0.5276334139246901, 0.7592583532819697]",None,"Navigate to, um, a hotel with a 5-star rating and contactless payment.","I recommend Flying Angels, a 5-star hotel offering contactless payment at One International Plz, Ste 550. Should I navigate there? Or do you have other preferences in mind?",1.0,0.9249118566513062,-0.0,0
9,"[0.10666758664219458, 0.6742784058708655, 0.9094245707672942, 0.8546270896731721, 0.08065025445492349]",None,"Navigate tew a supermarket withe parking available, please. Use credit card.","I recommend Great World Supermarket at 927 Arch St. It has parking available and is rated 3.5/5. 

Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.8911634385585785,-0.0,0
10,"[0.22677594076795216, 0.6020103657275125, 0.23760552820679665, 0.3321053122417737, 0.5142469162366936]",None,"Navigate to a hotel cash payment and parking available, rated 3.5.","I found Payless Parking, rated 3.5, located at 6975 Norwitch Dr. It offers cash payment and parking. 

Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.9249118566513062,-0.0,0
11,"[0.14011693814886222, 0.7141855295875122, 0.03346594615884388, 0.15367513444823225, 0.11554411180632168]",None,"Yo, find a high-end American restaurant with cash payment and parking.","I recommend Chickie's & Pete's, a high-end American seafood restaurant with cash payment and parking available. Would you like me to navigate there? Or do you have other preferences in mind?",1.0,0.9640928506851196,-0.0,0
12,"[0.03417946257926939, 0.24456327596784724, 0.44232879621855986, 0.6526237294155924, 0.2516401550802899]",None,Could you please guide to low-priced Middle Eastern restaurant that accepts credit cards?,"I recommend The Halal Guys, a low-priced Middle Eastern restaurant that accepts credit cards, rated 3.5/5. Would you like me to navigate there? Or do you have other preferences in mind?",1.0,0.9640928506851196,-0.0,0
13,"[0.9833834557148402, 0.8418209593834267, 0.16171285748419365, 0.500096510867655, 0.3127122595686782]",None,"Navigate medium-priced Italian restaurant 5-star rating. Contactless payment, please.","I recommend Superior Pasta Company, a 5-star Italian restaurant offering contactless payment, located at 905 Christian St. Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.9640928506851196,-0.0,0
14,"[0.18319265868835977, 0.5264467977101628, 0.9641676823317418, 0.41973755162304016, 0.6222610952095903]",None,"Can you, like, find a medium-priced bar that accepts cash?","I recommend ArtBar, a medium-priced bar at 1800 Market St, rated 3.0/5, and it accepts cash. 

Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.9390982389450073,-0.0,0
15,"[0.0977646669044928, 0.2672282888880385, 0.7315592678744463, 0.07345678494495998, 0.27770769966946257]",None,"Navigate to a supermarket, um, that accepts contactless payments.","I recommend Great World Supermarket, rated 3.5/5, located at 927 Arch St. It accepts contactless payments. 

Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.8911634385585785,-0.0,0
16,"[0.004694631945792893, 0.36939138510931147, 0.006750281514758011, 0.5169030397821279, 0.6675556784839627]",None,Navigate to a supermarket with available parking and credit card payment.,"I recommend Great World Supermarket at 927 Arch St. It has parking and accepts credit card payments. Should I navigate there? If you have other preferences or places in mind, let me know!",1.0,0.8911634385585785,-0.0,0
17,"[0.6655657102947667, 0.5850231597648287, 0.6172405018213216, 0.6606736838517563, 0.2919955347033507]",None,"Navigate to a, um, high-rated hotel with parking available, please.","I found the Philadelphia Gateway Parking Facility, rated 4.5/5, which offers parking. Would you like me to navigate there? If you have other preferences or places in mind, let me know!",0.75,0.6769927144050598,-0.0,1
18,"[0.3809700556681517, 0.6746584640809749, 0.1310205100188593, 0.2909676681704956, 0.9033750430176952]",None,"Yo, find me a Turkish restaurant with a decent rating, card only.","Istanbul Restaurant & Lounge is a Turkish spot with a 2.5/5 rating, located at 216 South St. Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.9640928506851196,-0.0,0
19,"[0.12109866972488813, 0.18913039285187455, 0.5376445219508917, 0.540743045064892, 0.9664034921965664]",None,Could please guide a high-end supermarket that accepts mobile payments?,"I recommend DASHED, a food delivery service that accepts mobile payments. It's located at 310 E Girard Ave. 

Would you like me to navigate there, or do you have other preferences in mind?",0.75,0.7461632192134857,-0.0,1
20,"[0.26432591502637526, 0.9308137275853633, 0.398257725092115, 0.8441192415636256, 0.6978396766016504]",None,"Could you help find middle eastern restaurant? Cash only, please.","I recommend The Halal Guys, a cash-only Middle Eastern restaurant with a 3.5/5 rating. Would you like me to navigate there? Or do you have other preferences in mind?",1.0,0.9640928506851196,-0.0,0
21,"[0.9738367885216169, 0.3550579333236081, 0.197839390186232, 0.26632956223123994, 0.07754629003810212]",None,Navigate thuy a museum withe a 5-star rating. Parking's available.,"I recommend the Simeone Foundation Automotive Museum, rated 5.0/5, located at 6825-31 Norwitch Dr. Parking is available. 

Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.9626623690128326,-0.0,0
22,"[0.789645515485175, 0.8838235041342424, 0.44981536818794127, 0.6506315136345721, 0.3473986934622326]",None,"Navigate two a baar with lowe prices and parking available, please.","I found Tbaar Philadelphia, a bubble tea and food spot with low prices and parking available. Would you like me to navigate there? Or do you have other places in mind?",1.0,0.7290890216827393,-0.0,1
23,"[0.5168274762627395, 0.17587854089206495, 0.9008111515301307, 0.013295283773719135, 0.8156958803494297]",None,"Navigate to a museum with a decent rating, please.","I recommend the Please Touch Museum, rated 4.0/5, located at 4231 Ave Of The Republic. Would you like me to navigate there? If you have other preferences or places in mind, just let me know!",1.0,0.9626623690128326,-0.0,0
24,"[0.18494962146310412, 0.1467879779481112, 0.1420880780952541, 0.21910460378509672, 0.08473014418043587]",None,Navigate to a bakery with low prices.,"I recommend Stock's Bakery, rated 4.5/5 and known for its low prices. Would you like me to navigate there? If you have other preferences or places in mind, let me know!",1.0,0.8752301037311554,-0.0,0
25,"[0.5351875126664115, 0.42961598277401447, 0.27602164268878115, 0.4268621908178424, 0.16951925332804954]",None,Navigate a hotel 4-star rating and cash payment.,"I recommend Minute Suites, a 4-star hotel located at Terminal A-B Link, offering cash payment options. Should I navigate you there? Or do you have other preferences in mind?",1.0,0.9687078595161438,-0.0,0
