Index,vars,seed,utterance,answer,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance,Critical
0,"[0.0834609604734254, 0.10077752421061326, 0.030779531589599257, 0.11518690901434925, 0.38470418350083924]",None,"Navigate to ay supermarket with contactless payment and parking available, idiot.","Fine Fare Supermarket seems best: rated 4.0/5, affordable, and likely to meet your needs. Should I navigate you there? Or prefer another?",1.0,0.8911634385585785,-0.0,0
1,"[0.10663305699460342, 0.26691485622517885, 0.7711413927197476, 0.9587963840986793, 0.7712610528424445]",None,"Could you, um, assist me in locating a nearby doctor?","Sure! Based on your query, **Joseph M Lichtman, MD** seems the best option with a 4.0/5 rating at 514 S 4th St. Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.9583830535411835,-0.0,0
2,"[0.003873391574059415, 0.9448752239657909, 0.2500481049816558, 0.9160552181266131, 0.44731983211287213]",None,Could you please direct me to a doctor nearby?,The Perelman Center for Advanced Medicine (3.5/5) at 3400 Civic Center Blvd seems best. Should I navigate you there?,1.0,0.9583830535411835,-0.0,0
3,"[0.10297782241166172, 0.16385771976011276, 0.19137253516400435, 0.19643517896776141, 0.5255836072069564]",None,"Navigate to a supermarket where AY cahn pei contactless and it's moderately priced, ewe idiot.","Asia Supermarket seems like the best fit—moderately priced, better rated (3.5/5), and likely to accept contactless payment. Navigate there?",1.0,0.8911634385585785,-0.0,0
4,"[0.8539855783530053, 0.7124915680487458, 0.26913042956984123, 0.38845139903897763, 0.8369414649363767]",None,"Hey, can find me a high-end bar contactless payment and parking?","The best match is **Snackbar** at 253 S 20th St, rated 3.5/5. It’s a high-end bar with contactless payment. Should I navigate there, or do you have other preferences?",1.0,0.9390982389450073,-0.0,0
5,"[0.9054116204515219, 0.8878138326061493, 0.37158199098445843, 0.8166373778266468, 0.6020342006903203]",None,"Could you help me find medium-priced Thai spot a top rating? Mobile payment, please!","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.9500000000000001,1.0,-0.0,0
6,"[0.9423049517256944, 0.8744533719306008, 0.3098124112479204, 0.9991076168171601, 0.03428393740721944]",None,"Hey, um, can you guide me to a top-rated museum? Parking's a must!","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.8000000000000002,0.0,-0.0,1
7,"[0.04659485476820409, 0.009435496006931526, 0.28667598289429597, 0.5176073262285886, 0.7810433287799778]",None,"Could you, um, please guide me to an American restaurant with available parking that accepts credit cards?","Based on your request, **Hickory Lane American Bistro** seems ideal. It offers American cuisine, accepts credit cards, and has parking. Shall I navigate you there, or do you have other preferences?",1.0,0.9640928506851196,-0.0,0
8,"[0.9136200923839884, 0.9157072142457281, 0.3788184085535617, 0.04044781858024579, 0.026873532276523227]",None,"Navigate me to a, like, top-rated Japanese restaurant that takes contactless payments, you idiot.","Sure! Hikari Sushi at 1040 N American St (5.0/5, $$) is top-rated and likely accepts contactless payments. Navigate there? Or prefer another?",1.0,0.9640928506851196,-0.0,0
9,"[0.3137702874172963, 0.7318098270364395, 0.656673329696104, 0.7466159197158619, 0.40498892959534494]",None,Could you help me fined ae low-priced hotel with a. decent rating?,"Based on your request, **Leneghan's Crusader Inn** seems ideal with a 5.0/5 rating and low price at 7412 Frankford Ave. Should I navigate you there, or do you have other preferences in mind?",1.0,0.9687078595161438,-0.0,0
