Index,vars,seed,utterance,answer,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance,Critical
0,"[0.7988387368594724, 0.38788357536758444, 0.7822206134599218, 0.8470115791211291, 0.6016725254063002]",None,Could you please guide me to a Greek restaurant with a 4.5 rating and parking available? I can pay by credit card.,"I recommend ""Greek From Greece,"" rated 5.0/5, located at 107 N 33rd St. It offers a great dining experience. 

Would you like me to navigate you there, or do you have other preferences in mind?",0.7,0.9640928506851196,-0.0,1
1,"[0.3488274008880592, 0.5783175255477132, 0.6770435828058756, 0.8572870655824709, 0.5941050611323858]",None,"Could you please guide a low-priced French restaurant parking? Rating 3.5, if possible.","I found La Dominique, a French restaurant rated 4.5/5, located at 3300 Market St. Price: $. Would you like me to navigate there, or do you have other preferences in mind?",0.7,0.9640928506851196,-0.0,1
2,"[0.3628739170221267, 0.11541680797604843, 0.23265005499400032, 0.2534586336652919, 0.3932721266957336]",None,Navigate a museum with a 3.5 rating. Parking is available.,"It seems the only option available is the Please Touch Museum, which has a 4.0 rating. Would you like me to navigate there? If you have other preferences or places in mind, let me know!",1.0,0.9626623690128326,-0.0,0
3,"[0.9236002047656797, 0.7883966614633412, 0.08804859546574506, 0.5386710118994141, 0.3656341971297058]",None,Navigate to a hotel with a 5-star rating and contactless payment.,"I recommend Flying Angels, a 5-star hotel offering contactless payment at One International Plz, Ste 550. Should I navigate there? Or do you have other preferences in mind?",1.0,0.9249118566513062,-0.0,0
4,"[0.46817264859524327, 0.3130519092609631, 0.01904486766967564, 0.2714193495032807, 0.9848976593150499]",None,Navigate to a bar mobile payment options and good rating.,"I recommend Deke's Bar-B-Que, rated 4.5/5, offering a great atmosphere for mobile payments. Should I navigate you there? Or do you have other places in mind?",1.0,0.9390982389450073,-0.0,0
5,"[0.22687005487490103, 0.31172810357718234, 0.17721301741216494, 0.13829888772848478, 0.048378126916572034]",None,Navigate to a museum with a rating of 3.5.,"It seems the only museum listed is the Please Touch Museum, rated 4.0. Would you like me to navigate there, or do you have other preferences in mind?",0.7,0.9626623690128326,-0.0,1
6,"[0.07985489677826217, 0.14739553199225752, 0.27563411992323844, 0.6538859782365307, 0.9958480643764958]",None,Navigate to a cafe offering German food with contactless payment.,"I found New Germantown Pizza, which offers German food and is located at 4923 Germantown Ave. Would you like me to navigate there? Or do you have other preferences in mind?",1.0,0.832989513874054,-0.0,0
7,"[0.04582598040551627, 0.7822502849027254, 0.23505726960903728, 0.5640184658896512, 0.945086959184623]",None,"Navigate to a um supermarket that accepts mobile payments, please.","I recommend Fine Fare Supermarket at 625 W Girard Ave. It's rated 4.0/5 and accepts mobile payments. 

Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.8911634385585785,-0.0,0
8,"[0.7859055960472797, 0.010355574754471686, 0.924109220779172, 0.8489474511463304, 0.23774331602113416]",None,"Navigate to a medium-priced hotel with a 4.5 rating, please.","I found Bus Stop, a highly-rated place at 727 S 4th St, priced at medium. Should I navigate there? Or do you have other preferences in mind?",1.0,0.6849897503852844,-0.0,1
9,"[0.14257443037698697, 0.2916421142128312, 0.9297378477716672, 0.7733560847932568, 0.5761278159238264]",None,Could you please guide me to ay nearby museum?,"I recommend the Mummers Museum, rated 3.5/5, located at 1100 S 2nd St. Would you like me to navigate there? If you have other preferences or places in mind, just let me know!",1.0,0.9626623690128326,-0.0,0
10,"[0.8072544653589137, 0.09686136592844037, 0.9518389445091608, 0.2619176422113198, 0.2650932187295749]",None,Navigate to a museum with a 5-star rating. Parking's available.,"I recommend the Lest We Forget Slavery Museum, rated 5.0/5, located at 5501 Germantown Ave. Would you like me to navigate there? Or do you have other places in mind?",1.0,0.9626623690128326,-0.0,0
11,"[0.8130001944684018, 0.6658036540873769, 0.8409172694102376, 0.6274104769318114, 0.6357569352154592]",None,Could guide me a museum with perfect rating? Parking available?,"I recommend the Simeone Foundation Automotive Museum, rated 5.0/5, located at 6825-31 Norwitch Dr. Parking is available. 

Would you like me to navigate you there, or do you have other preferences in mind?",1.0,0.9626623690128326,-0.0,0
