Index,vars,utterance,answer,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance
0,"[0.6655657102947667, 0.5850231597648287, 0.6172405018213216, 0.6606736838517563, 0.2919955347033507]","Navigate to a, um, high-rated hotel with parking available, please.","I found the Philadelphia Gateway Parking Facility, rated 4.5/5, which offers parking. Would you like me to navigate there? If you have other preferences or places in mind, let me know!",0.75,0.6769927144050598,-0.0
1,"[0.12109866972488813, 0.18913039285187455, 0.5376445219508917, 0.540743045064892, 0.9664034921965664]",Could please guide a high-end supermarket that accepts mobile payments?,"I recommend DASHED, a food delivery service that accepts mobile payments. It's located at 310 E Girard Ave. 

Would you like me to navigate there, or do you have other preferences in mind?",0.75,0.7461632192134857,-0.0
2,"[0.789645515485175, 0.8838235041342424, 0.44981536818794127, 0.6506315136345721, 0.3473986934622326]","Navigate two a baar with lowe prices and parking available, please.","I found Tbaar Philadelphia, a bubble tea and food spot with low prices and parking available. Would you like me to navigate there? Or do you have other places in mind?",1.0,0.7290890216827393,-0.0
3,"[0.04293040213801591, 0.3467132778483052, 0.524855469869743, 0.8964647768041951, 0.22992391018928665]",Could you please guide me to a high-end supermarket with contactless payment options and available parking?,"I recommend DASHED, a high-end supermarket with contactless payment options. It has available parking but a low rating. 

Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.7461632192134857,-0.0
4,"[0.1743441077363549, 0.5139076160458552, 0.8408129072642844, 0.5894056387415105, 0.0700396248355995]",Navigate to a. high-end barr that accepts cash.,"It seems like the option provided is not a high-end bar. Would you like me to search for other places, or do you have a specific location in mind?",0.375,0.6654961705207825,-0.0
5,"[0.10608285459034915, 0.36953968309477264, 0.595107740883401, 0.699320196513625, 0.5806224653791371]",Could you help me find high-end bakery nearby?,"Sorry, I cannot find any relevant places.",0.875,0.0,-0.0
6,"[0.04492384505728389, 0.4751819710490289, 0.16477633249852722, 0.3351260452706856, 0.08815550244259662]",Failed to generate question due to error 'NoneType' object has no attribute 'replace' of type <class 'AttributeError'>,It seems there was an error in processing your request. Can you please try again or provide more details?,0.375,0.0,-0.0
7,"[0.7813069472532803, 0.8859663228600917, 0.4903049853434864, 0.507284295985255, 0.872964450501645]","Navigate to a high-end bar, you know, with a 4.5 rating and parking.","I recommend the Saloon Restaurant, a high-end spot with a 4.5 rating, offering Chinese and Italian cuisine. Should I navigate there? Or do you have other preferences in mind?",0.75,0.7355660051107407,-0.0
8,"[0.0555866343938529, 0.8480663951350129, 0.4184244694077575, 0.9740447764286464, 0.9765552714440705]",Could you help me fined ae high-end bakery nearby?,"Sorry, I cannot find any relevant places.",1.0,0.0,-0.0
9,"[0.254147474174602, 0.49375798458333137, 0.5521312333683358, 0.32611756066941716, 0.6588684962457447]","Find me a low-priced hotel with a 3.5 rating, contactless payment.","It seems I couldn't find a low-priced hotel with a 3.5 rating and contactless payment. However, I found ""Make Me Dreadful,"" a highly-rated hair salon. Would you like to navigate there, or do you have other preferences in mind?",1.0,0.6809072345495224,-0.0
