Index,vars,utterance,answer,Fitness_answer_fitness,Fitness_content_fitness,Fitness_distance
0,"[0.9423049517256944, 0.8744533719306008, 0.3098124112479204, 0.9991076168171601, 0.03428393740721944]","Hey, um, can you guide me to a top-rated museum? Parking's a must!","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.8000000000000002,0.0,-0.0
1,"[0.24673322784785007, 0.43742327923397234, 0.9698785083171856, 0.0369637669146764, 0.12489604266972151]","Navigate to a barre with kash payment, 3.5 star's, parking available, cheap.","Based on your preferences, **Locust Bar** fits best: 4.0 stars, cheap, parking likely nearby, and accepts cash. Should I navigate there, or do you have other preferences?",0.7000000000000001,0.9390982389450073,-0.0
2,"[0.9593177356014575, 0.9513718146121795, 0.21710144411366367, 0.8700802708822098, 0.7586428049679086]","Hey, can you find me bar a solid rating? Contactless payment, please!","Sure! Based on your request, **The Cut Bar** at 532 S 4th St seems like a good fit. It’s rated 4.0/5, affordable ($), and likely offers contactless payment.  

Would you like me to navigate there, or do you have other preferences in mind?",1.0,0.6178481578826904,-0.0
3,"[0.44997013604500735, 0.9684673445675926, 0.9717581066382623, 0.05257668995684442, 0.15562397557498028]","Navigate museum, parking available, rated four stars, idiot.",The Neon Museum of Philadelphia (4.5/5) at 1800 N American St seems ideal. Parking info unclear. Should I navigate there?,0.55,0.9626623690128326,-0.0
4,"[0.04807112496982777, 0.9789561271030311, 0.9734021714352201, 0.029160736517863634, 0.07859415402851261]","Navigate too a place where they fix cause, u. idiot.","It seems you're looking for a car repair shop, but the listed places specialize in electronics and IT repair. Could you clarify or provide more details? Should I search for nearby car repair services instead?",0.55,0.7205208837985992,-0.0
5,"[0.1276437421240667, 0.32534785015591583, 0.06753404173988753, 0.4680673019250491, 0.18232972984028084]",Plese deregt mea to a medium-priced car repair shop nearby.,"Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.6500000000000001,1.0,-0.0
6,"[0.03398814284345156, 0.899769207898938, 0.7511320114954332, 0.7424325136386498, 0.3429805304169218]","Haigh, AI need a spot thuy grabbe some groceries, medium prices, and parking's gotta be chill.","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.9500000000000001,0.0,-0.0
7,"[0.8262831321074922, 0.960590207694269, 0.5328215643682122, 0.541607098061833, 0.8205348621012152]","Hey, can you help me find a nice hotel? I prefer to pay with a credit card, and it should be rated 5 stars, but not too pricey.","It seems the options listed are tours and activities, not hotels. Would you like me to search for 5-star hotels instead? Let me know if you have other preferences or need help navigating!",0.55,0.9249118566513062,-0.0
8,"[0.11229825175987485, 0.36321023297582067, 0.16760812783946816, 0.1296244675649081, 0.5848010462212749]","Navigate to ae bakery with medium prices, yue idiot.","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.9500000000000001,0.0,-0.0
9,"[0.17264529634276993, 0.11503863826002705, 0.1481160524820424, 0.05510616349341327, 0.17275683538917605]","Navigate to ae bakery, accepting card only. Don't waste time, idiot.","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.9500000000000001,0.0,-0.0
10,"[0.10707617834610435, 0.6620822608120983, 0.31092130265495277, 0.7969729038338192, 0.15480332448330975]","Navigate to, um, a high-priced car repair shop nearby.","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.6500000000000001,1.0,-0.0
11,"[0.8982017058265859, 0.34586128382856773, 0.3075462315628904, 0.12416625546845317, 0.5492370097285042]","Navigate to museum with a 5-star rating and parking, idiot.","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.9500000000000001,0.0,-0.0
12,"[0.034432510991186535, 0.12603619559434043, 0.7009394558181052, 0.15131755013550663, 0.6875310620172462]","Can yoo tell mea ware to find a dr, hugh idiot?","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.5,0.0,-0.0
13,"[0.005211986537678653, 0.4594512796117497, 0.12994624945832806, 0.6436677312548342, 0.40369547277082474]",Navigate tue ay bakery nearby. EYE need some fresh bread.,"Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.6500000000000001,0.0,-0.0
14,"[0.2686840186217345, 0.4495755898492153, 0.3934353536159198, 0.18375221631195052, 0.5363749473054272]","Hey, can yu fined me a Vietnamese restaurant? Cash only, 3.5 stars', medium price's, you no?","Sure! Based on your request, **Vietnam Restaurant** at 221 N 11th St seems like the best fit—Vietnamese, $$, and rated 4.0/5.  

Would you like me to navigate there, or do you have other preferences in mind? Let me know!",0.7000000000000001,0.9640928506851196,-0.0
15,"[0.03206464639767741, 0.5670693639728774, 0.8541314853190594, 0.8062362250190552, 0.7313152969646916]",Could u. point mee to ay place for sum affordable baked goods?,"Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.8000000000000002,0.0,-0.0
16,"[0.18862486614565094, 0.2130176197649251, 0.854224295531076, 0.37298846554066817, 0.3967405518074198]",Could assist me locating a high-end supermarket that accepts contactless payments?,"Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.6500000000000001,1.0,-0.0
17,"[0.050291690446386816, 0.5103815647977696, 0.043121569075785154, 0.40499216026389256, 0.06872170745631487]","Navigate to, um, a medium-priced car repair shop nearby.","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.6500000000000001,1.0,-0.0
18,"[0.01764603020001916, 0.40096630020761415, 0.7934022017484931, 0.6554704718841035, 0.5897277854472143]",I'm craving high-end pastries. Any suggestions?,"Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.6500000000000001,0.0,-0.0
19,"[0.15725386446971873, 0.17525372909068973, 0.5384907137917009, 0.7451887455008067, 0.5757071298081602]",Could you kindly direct me to a nearby doctor’s office?,"Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.8000000000000002,0.0,-0.0
20,"[0.23764388312125762, 0.624230907661624, 0.12239744196775518, 0.3657108938677618, 0.41492745095969985]","Navigate to a low-priced cafe withe Italian food, rated 3.5, accepting mobil payment.","Based on your request, none of the options match exactly, as all are rated above 3.5. However, **Res Ipsa Cafe** at 2218 Walnut St. is a low-priced Italian cafe rated 4.0 and might suit your needs. Should I navigate there, or would you like to refine your preferences?",0.55,0.9026724696159363,-0.0
21,"[0.14151198956644465, 0.8973057430922615, 0.2354210815171054, 0.34776338695796916, 0.44343199585057347]","Navigate to the nearest doktor, please.","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.5,0.0,-0.0
22,"[0.8343221388493849, 0.7593387772229273, 0.5732652364579732, 0.7648882829996231, 0.5718682185505826]","Hey, um, could you point me to a top-rated museum? Parking's a must!","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.8000000000000002,0.0,-0.0
23,"[0.11451151953905625, 0.03637610941380498, 0.362422213392011, 0.6499429714541394, 0.7792229317745981]",Could you help me find ae nearby dockter?,"It seems like you're looking for a doctor, but the options listed don't match medical clinics or physicians. Would you like me to search for nearby medical clinics or healthcare providers instead? Let me know how I can assist further!",0.55,0.7915323078632355,-0.0
24,"[0.8883687605604353, 0.5392955785335142, 0.9232551897805611, 0.9916917585306683, 0.6164347671854764]","Could you help mi find a niece hotel? EYE prefer to paye cash and it schuld have a great rating, around 5 starrs, and bea moderately priced.","It seems the listed options are tours, not hotels. Would you like me to search again for 5-star, cash-friendly hotels?",0.55,0.9249118566513062,-0.0
25,"[0.6514382163683701, 0.792566380021485, 0.3338348233951438, 0.0982795896309622, 0.364955126743293]","Hey, find me a high-end hotel with parking. Cash only, got it? 4.5 stars, idiot!","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.9500000000000001,0.0,-0.0
26,"[0.04543507089921439, 0.03599890755309251, 0.6754673185081165, 0.43288766321223493, 0.8862597193714534]",Could you guide a place showcasing art and history?,"Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.9500000000000001,0.0,-0.0
27,"[0.021652046319057455, 0.3847568646962155, 0.017779376418282672, 0.0519769369883647, 0.24560811362980098]","Navigate a high-end bakery. Don't waste time, idiot.","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.9500000000000001,0.0,-0.0
28,"[0.11246550517265788, 0.36560276332106045, 0.34825193897683987, 0.16769323281586493, 0.4421586510690597]","Navigate to a cheap car repair shop, if you can.","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.6500000000000001,1.0,-0.0
29,"[0.01890885285114316, 0.29113113846978533, 0.6725887495236706, 0.4563990969284915, 0.6541307046597704]",Could yew assist me in locating ay high-end supermarket nearby?,"Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.6500000000000001,1.0,-0.0
30,"[0.9533188808928114, 0.1294509042392297, 0.306228779979448, 0.2446619871724971, 0.8694295113114576]","Navigate to a high-end hotel with 5-star rating and parking available. Payment by credit card only, you know?","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.9500000000000001,0.0,-0.0
31,"[0.008008691981619312, 0.9827660795939309, 0.14671551981942454, 0.29242737450743633, 0.47631122006232435]","Navigate a car repair shop, idiot. Medium prices.","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.5,1.0,-0.0
32,"[0.07386272911832181, 0.6077456567004356, 0.5892874718918236, 0.5226896768593148, 0.1361002561291967]",Navigate to a high-end car repair shop nearby.,"Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.6500000000000001,1.0,-0.0
33,"[0.15878400739553225, 0.5764209073378066, 0.7376642406203628, 0.5077890332196514, 0.1796102145410308]","Could you guide mee to a. high-end café serving French cuisine? Cash only, pleas, and parking should bea available.","Sorry, I cannot find any relevant places. Do you have other preferences in mind?",0.9500000000000001,0.0,-0.0
34,"[0.41584930360593364, 0.41467217844183135, 0.07756286972728095, 0.07938679868720688, 0.9328998580957901]",,"Based on your query, UNTUCKit at 1611 Walnut St. seems ideal with a 5.0/5 rating for stylish clothing options. Should I navigate there, or do you have other preferences in mind?",1.0,0.7328355610370636,-0.0
